1 id_mutualista;TICKET DE MEDICAMENTOS - GENERAL. FONASA;TICKET DE MEDICAMENTOS - GENERAL. NO FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. NO FONASA;CONSULTA URGENCIA CENTRALIZADA. FONASA;CONSULTA URGENCIA CENTRALIZADA. NO FONASA;CONSULTA NO URGENCIA DOMICILIO. FONASA;CONSULTA NO URGENCIA DOMICILIO. NO FONASA;CONSULTA URGENCIA DOMICILIO. FONASA;CONSULTA URGENCIA DOMICILIO. NO FONASA;CONSULTA ODONTOLOGICA. FONASA;CONSULTA ODONTOLOGICA. NO FONASA;CONSULTA MEDICO DE REFERENCIA. FONASA;CONSULTA MEDICO DE REFERENCIA. NO FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. NO FONASA;ECOGRAFÍA SIMPLE. FONASA;ECOGRAFÍA SIMPLE. NO FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. NO FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. NO FONASA;RX TORAX. FONASA;RX TORAX. NO FONASA;RX COLORECTAL. (C/ CONTRASTE) FONASA;RX COLORECTAL. (C/CONTRASTE) NO FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. NO FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. NO FONASA
6860;314;314;181;181;163;163;163;163;163;163;163;163;436;436;690;690;700;700;829;829;885;885;163;163;423;423;608;608;608;608;423;423;331;331;419;419;1108;1108;1108;1108
6985;270;270;160;160;167;167;167;167;167;167;167;167;341;341;514;514;514;514;694;694;720;720;0;0;754;754;547;547;887;887;547;547;547;547;416;416;1108;1108;754;754
7062;303;303;181;181;157;157;44;44;0;0;170;170;289;289;347;347;474;474;699;699;322;322;157;157;871;871;511;511;604;604;425;425;425;425;425;425;1108;1108;1037;1037
7214;296;296;173;173;157;157;157;157;157;157;157;157;425;425;248;248;423;423;481;481;523;523;157;157;792;792;575;575;916;916;684;684;684;684;916;916;1108;1108;1031;1031
7264;236;236;39;39;165;165;87;87;87;87;87;87;265;265;323;323;455;455;858;858;509;509;0;0;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140;140
7466;322;322;170;170;0;165;0;0;0;165;0;165;0;315;0;488;567;567;842;842;567;567;165;165;751;751;384;384;865;865;253;253;253;253;253;253;751;751;751;751
7553;256;256;167;167;0;153;0;153;0;153;0;153;0;858;0;408;0;455;0;851;502;502;0;153;689;689;383;1108;383;383;346;1108;346;1108;582;582;689;689;689;689
7618;282;282;181;181;162;162;44;44;73;73;168;168;286;286;467;467;564;564;757;757;713;713;162;162;655;655;396;396;798;800;414;414;414;414;414;414;1108;1108;896;896
7719;266;266;161;161;162;162;162;162;162;162;162;162;162;361;307;307;507;507;563;563;596;596;166;166;573;573;501;501;501;501;501;501;501;501;501;501;682;682;680;680
7810;168;273;168;168;168;168;0;0;165;165;165;165;241;241;396;396;168;168;168;168;706;706;168;168;367;367;329;329;329;329;329;329;140;140;329;329;794;794;794;794
8012;232;283;165;165;109;109;0;0;113;113;113;113;175;175;324;324;351;351;540;540;509;509;76;165;466;466;337;337;710;710;269;269;269;269;295;295;1021;1021;1021;1021
8163;272;272;156;156;160;160;160;160;160;160;160;160;301;301;429;429;568;568;882;882;597;597;160;160;502;502;502;502;502;502;441;441;227;227;502;502;680;680;680;680
8264;327;327;181;181;165;165;165;165;165;165;165;165;361;361;512;512;564;564;968;968;735;735;162;165;523;523;315;315;523;523;315;315;315;315;523;523;1025;1025;1025;1025
