Institución;Departamento;Especialidad;Valor
AMDM;MONTEVIDEO;FONOAUDIOLOGÍA;0.00
AMDM;MONTEVIDEO;NUTRICIÓN;0.00
AMDM;MONTEVIDEO;PSICOLOGÍA;0.00
AMDM;MONTEVIDEO;PSICOMOTRICIDAD;0.00
AMDM;MONTEVIDEO;PSICOPEDAGOGÍA;0.00
AMDM;MONTEVIDEO;TRABAJO SOCIAL;0.00
AMDM;MONTEVIDEO;OBSTETRA PARTERA;0.00
AMDM;ARTIGAS;MEDICINA GENERAL;0.00
AMDM;ARTIGAS;ODONTOLOGÍA;0.00
AMDM;ARTIGAS;ALERGOLOGÍA;0.00
AMDM;ARTIGAS;ANESTESIOLOGÍA;0.00
AMDM;ARTIGAS;CARDIOLOGÍA;0.00
AMDM;ARTIGAS;CARDIOLOGÍA PEDIÁTRICA;0.00
AMDM;ARTIGAS;CIRUGÍA GENERAL;0.00
AMDM;ARTIGAS;CIRUGÍA CARDÍACA;0.00
AMDM;ARTIGAS;CIRUGÍA DE TORAX;0.00
AMDM;ARTIGAS;CIRUGÍA PEDIÁTRICA;0.00
AMDM;ARTIGAS;CIRUGÍA PLÁSTICA;0.00
AMDM;ARTIGAS;CIRUGÍA VASCULAR PERIFÉRICA;0.00
AMDM;ARTIGAS;CIRUGÍA Y TRAUMATOLOGÍA BUCO-MAXILO-FACIAL;0.00
AMDM;ARTIGAS;CUIDADOS PALIATIVOS DEL ADULTO;0.00
AMDM;ARTIGAS;DERMATOLOGÍA;0.00
AMDM;ARTIGAS;DIABETOLOGÍA;0.00
AMDM;ARTIGAS;ENDOCRINOLOGÍA;0.00
AMDM;ARTIGAS;ENDOSCOPÍA DIGESTIVA;0.00
AMDM;ARTIGAS;ENFERMEDADES INFECCIOSAS;0.00
AMDM;ARTIGAS;FISIATRÍA;0.00
AMDM;ARTIGAS;GASTROENTEROLOGÍA;0.00
AMDM;ARTIGAS;GERIATRÍA;0.00
AMDM;ARTIGAS;GINECOTOCOLOGÍA;0.00
AMDM;ARTIGAS;HEMATOLOGÍA;0.00
AMDM;ARTIGAS;MEDICINA FAMILIAR Y COMUNITARIA;0.00
AMDM;ARTIGAS;MEDICINA INTENSIVA;0.00
AMDM;ARTIGAS;MEDICINA INTENSIVA PEDIÁTRICA;0.00
AMDM;ARTIGAS;MEDICINA INTERNA;0.00
AMDM;ARTIGAS;NEFROLOGÍA;0.00
AMDM;ARTIGAS;NEFROLOGÍA PEDIÁTRICA;0.00
AMDM;ARTIGAS;NEONATOLOGÍA;0.00
AMDM;ARTIGAS;NEUMOLOGÍA;0.00
AMDM;ARTIGAS;NEUMOLOGÍA PEDIÁTRICA;0.00
AMDM;ARTIGAS;NEUROCIRUGÍA;0.00
AMDM;ARTIGAS;NEUROLOGÍA;0.00
AMDM;ARTIGAS;NEUROPEDIATRÍA;0.00
AMDM;ARTIGAS;OFTALMOLOGÍA;0.00
AMDM;ARTIGAS;ONCOLOGÍA MÉDICA;0.00
AMDM;ARTIGAS;ONCOLOGÍA RADIOTERÁPICA;0.00
AMDM;ARTIGAS;TRAUMATOLOGÍA;0.00
AMDM;ARTIGAS;OTORRINOLARINGOLOGÍA;0.00
AMDM;ARTIGAS;PEDIATRÍA;0.00
AMDM;ARTIGAS;PSICOTERAPIA PSICOANALÍTICA;0.00
AMDM;ARTIGAS;PSIQUIATRÍA;0.00
AMDM;ARTIGAS;PSIQUIATRÍA PEDIÁTRICA;0.00
AMDM;ARTIGAS;REUMATOLOGÍA;0.00
AMDM;ARTIGAS;UROLOGÍA;0.00
AMDM;ARTIGAS;UROLOGÍA PEDIÁTRICA;0.00
AMDM;ARTIGAS;FISIOTERAPÍA;0.00
AMDM;ARTIGAS;FONOAUDIOLOGÍA;0.00
AMDM;ARTIGAS;NUTRICIÓN;0.00
AMDM;ARTIGAS;PSICOLOGÍA;0.00
AMDM;ARTIGAS;PSICOMOTRICIDAD;0.00
AMDM;ARTIGAS;PSICOPEDAGOGÍA;0.00
AMDM;ARTIGAS;TRABAJO SOCIAL;0.00
AMDM;ARTIGAS;OBSTETRA PARTERA;0.00
AMDM;CANELONES;MEDICINA GENERAL;0.00
AMDM;CANELONES;ODONTOLOGÍA;0.00
AMDM;CANELONES;ALERGOLOGÍA;0.00
AMDM;CANELONES;ANESTESIOLOGÍA;0.00
AMDM;CANELONES;CARDIOLOGÍA;0.00
AMDM;CANELONES;CARDIOLOGÍA PEDIÁTRICA;0.00
AMDM;CANELONES;CIRUGÍA GENERAL;0.00
AMDM;CANELONES;CIRUGÍA CARDÍACA;0.00
AMDM;CANELONES;CIRUGÍA DE TORAX;0.00
AMDM;CANELONES;CIRUGÍA PEDIÁTRICA;0.00
AMDM;CANELONES;CIRUGÍA PLÁSTICA;0.00
AMDM;CANELONES;CIRUGÍA VASCULAR PERIFÉRICA;0.00
AMDM;CANELONES;CIRUGÍA Y TRAUMATOLOGÍA BUCO-MAXILO-FACIAL;0.00
AMDM;CANELONES;CUIDADOS PALIATIVOS DEL ADULTO;0.00
AMDM;CANELONES;DERMATOLOGÍA;0.00
AMDM;CANELONES;DIABETOLOGÍA;0.00
AMDM;CANELONES;ENDOCRINOLOGÍA;0.00
AMDM;CANELONES;ENDOSCOPÍA DIGESTIVA;0.00
AMDM;CANELONES;ENFERMEDADES INFECCIOSAS;0.00
AMDM;CANELONES;FISIATRÍA;0.00
AMDM;CANELONES;GASTROENTEROLOGÍA;0.00
AMDM;CANELONES;GERIATRÍA;0.00
AMDM;CANELONES;GINECOTOCOLOGÍA;0.00
AMDM;CANELONES;HEMATOLOGÍA;0.00
AMDM;CANELONES;MEDICINA FAMILIAR Y COMUNITARIA;0.00
AMDM;CANELONES;MEDICINA INTENSIVA;0.00
AMDM;CANELONES;MEDICINA INTENSIVA PEDIÁTRICA;0.00
AMDM;CANELONES;MEDICINA INTERNA;0.00
AMDM;CANELONES;NEFROLOGÍA;0.00
AMDM;CANELONES;NEFROLOGÍA PEDIÁTRICA;0.00
AMDM;CANELONES;NEONATOLOGÍA;0.00
AMDM;CANELONES;NEUMOLOGÍA;0.00
AMDM;CANELONES;NEUMOLOGÍA PEDIÁTRICA;0.00
AMDM;CANELONES;NEUROCIRUGÍA;0.00
AMDM;CANELONES;NEUROLOGÍA;0.00
AMDM;CANELONES;NEUROPEDIATRÍA;0.00
AMDM;CANELONES;OFTALMOLOGÍA;0.00
AMDM;CANELONES;ONCOLOGÍA MÉDICA;0.00
AMDM;CANELONES;ONCOLOGÍA RADIOTERÁPICA;0.00
AMDM;CANELONES;TRAUMATOLOGÍA;0.00
AMDM;CANELONES;OTORRINOLARINGOLOGÍA;0.00
AMDM;CANELONES;PEDIATRÍA;0.00
AMDM;CANELONES;PSICOTERAPIA PSICOANALÍTICA;0.00
AMDM;CANELONES;PSIQUIATRÍA;0.00
AMDM;CANELONES;PSIQUIATRÍA PEDIÁTRICA;0.00
AMDM;CANELONES;REUMATOLOGÍA;0.00
AMDM;CANELONES;UROLOGÍA;0.00
AMDM;CANELONES;UROLOGÍA PEDIÁTRICA;0.00
AMDM;CANELONES;FISIOTERAPÍA;0.00
AMDM;CANELONES;FONOAUDIOLOGÍA;0.00
AMDM;CANELONES;NUTRICIÓN;0.00
AMDM;CANELONES;PSICOLOGÍA;0.00
AMDM;CANELONES;PSICOMOTRICIDAD;0.00
AMDM;CANELONES;PSICOPEDAGOGÍA;0.00
AMDM;CANELONES;TRABAJO SOCIAL;0.00
AMDM;CANELONES;OBSTETRA PARTERA;0.00
AMDM;CERRO LARGO;MEDICINA GENERAL;0.00
AMDM;CERRO LARGO;ODONTOLOGÍA;0.00
AMDM;CERRO LARGO;ALERGOLOGÍA;0.00
AMDM;CERRO LARGO;ANESTESIOLOGÍA;0.00
AMDM;CERRO LARGO;CARDIOLOGÍA;0.00
AMDM;CERRO LARGO;CARDIOLOGÍA PEDIÁTRICA;0.00
AMDM;CERRO LARGO;CIRUGÍA GENERAL;0.00
AMDM;CERRO LARGO;CIRUGÍA CARDÍACA;0.00
AMDM;CERRO LARGO;CIRUGÍA DE TORAX;0.00
AMDM;CERRO LARGO;CIRUGÍA PEDIÁTRICA;0.00
AMDM;CERRO LARGO;CIRUGÍA PLÁSTICA;0.00
AMDM;CERRO LARGO;CIRUGÍA VASCULAR PERIFÉRICA;0.00
AMDM;CERRO LARGO;CIRUGÍA Y TRAUMATOLOGÍA BUCO-MAXILO-FACIAL;0.00
AMDM;CERRO LARGO;CUIDADOS PALIATIVOS DEL ADULTO;0.00
AMDM;CERRO LARGO;DERMATOLOGÍA;0.00
AMDM;CERRO LARGO;DIABETOLOGÍA;0.00
AMDM;CERRO LARGO;ENDOCRINOLOGÍA;0.00
AMDM;CERRO LARGO;ENDOSCOPÍA DIGESTIVA;0.00
AMDM;CERRO LARGO;ENFERMEDADES INFECCIOSAS;0.00
AMDM;CERRO LARGO;FISIATRÍA;0.00
AMDM;CERRO LARGO;GASTROENTEROLOGÍA;0.00
AMDM;CERRO LARGO;GERIATRÍA;0.00
AMDM;CERRO LARGO;GINECOTOCOLOGÍA;0.00
AMDM;CERRO LARGO;HEMATOLOGÍA;0.00
AMDM;CERRO LARGO;MEDICINA FAMILIAR Y COMUNITARIA;0.00
AMDM;CERRO LARGO;MEDICINA INTENSIVA;0.00
AMDM;CERRO LARGO;MEDICINA INTENSIVA PEDIÁTRICA;0.00
AMDM;CERRO LARGO;MEDICINA INTERNA;0.00
AMDM;CERRO LARGO;NEFROLOGÍA;0.00
AMDM;CERRO LARGO;NEFROLOGÍA PEDIÁTRICA;0.00
AMDM;CERRO LARGO;NEONATOLOGÍA;0.00
AMDM;CERRO LARGO;NEUMOLOGÍA;0.00
AMDM;CERRO LARGO;NEUMOLOGÍA PEDIÁTRICA;0.00
AMDM;CERRO LARGO;NEUROCIRUGÍA;0.00
AMDM;CERRO LARGO;NEUROLOGÍA;0.00
AMDM;CERRO LARGO;NEUROPEDIATRÍA;0.00
AMDM;CERRO LARGO;OFTALMOLOGÍA;0.00
AMDM;CERRO LARGO;ONCOLOGÍA MÉDICA;0.00
AMDM;CERRO LARGO;ONCOLOGÍA RADIOTERÁPICA;0.00
AMDM;CERRO LARGO;TRAUMATOLOGÍA;0.00
AMDM;CERRO LARGO;OTORRINOLARINGOLOGÍA;0.00
AMDM;CERRO LARGO;PEDIATRÍA;0.00
AMDM;CERRO LARGO;PSICOTERAPIA PSICOANALÍTICA;0.00
AMDM;CERRO LARGO;PSIQUIATRÍA;0.00
AMDM;CERRO LARGO;PSIQUIATRÍA PEDIÁTRICA;0.00
AMDM;CERRO LARGO;REUMATOLOGÍA;0.00
AMDM;CERRO LARGO;UROLOGÍA;0.00
AMDM;CERRO LARGO;UROLOGÍA PEDIÁTRICA;0.00
AMDM;CERRO LARGO;FISIOTERAPÍA;0.00
AMDM;CERRO LARGO;FONOAUDIOLOGÍA;0.00
AMDM;CERRO LARGO;NUTRICIÓN;0.00
AMDM;CERRO LARGO;PSICOLOGÍA;0.00
AMDM;CERRO LARGO;PSICOMOTRICIDAD;0.00
AMDM;CERRO LARGO;PSICOPEDAGOGÍA;0.00
AMDM;CERRO LARGO;TRABAJO SOCIAL;0.00
AMDM;CERRO LARGO;OBSTETRA PARTERA;0.00
AMDM;COLONIA;MEDICINA GENERAL;0.00
AMDM;COLONIA;ODONTOLOGÍA;0.00
AMDM;COLONIA;ALERGOLOGÍA;0.00
AMDM;COLONIA;ANESTESIOLOGÍA;0.00
AMDM;COLONIA;CARDIOLOGÍA;0.00
AMDM;COLONIA;CARDIOLOGÍA PEDIÁTRICA;0.00
AMDM;COLONIA;CIRUGÍA GENERAL;0.00
AMDM;COLONIA;CIRUGÍA CARDÍACA;0.00
AMDM;COLONIA;CIRUGÍA DE TORAX;0.00
AMDM;COLONIA;CIRUGÍA PEDIÁTRICA;0.00
AMDM;COLONIA;CIRUGÍA PLÁSTICA;0.00
AMDM;COLONIA;CIRUGÍA VASCULAR PERIFÉRICA;0.00
AMDM;COLONIA;CIRUGÍA Y TRAUMATOLOGÍA BUCO-MAXILO-FACIAL;0.00
AMDM;COLONIA;CUIDADOS PALIATIVOS DEL ADULTO;0.00
AMDM;COLONIA;DERMATOLOGÍA;0.00
AMDM;COLONIA;DIABETOLOGÍA;0.00
AMDM;COLONIA;ENDOCRINOLOGÍA;0.00
AMDM;COLONIA;ENDOSCOPÍA DIGESTIVA;0.00
AMDM;COLONIA;ENFERMEDADES INFECCIOSAS;0.00
AMDM;COLONIA;FISIATRÍA;0.00
AMDM;COLONIA;GASTROENTEROLOGÍA;0.00
AMDM;COLONIA;GERIATRÍA;0.00
AMDM;COLONIA;GINECOTOCOLOGÍA;0.00
AMDM;COLONIA;HEMATOLOGÍA;0.00
AMDM;COLONIA;MEDICINA FAMILIAR Y COMUNITARIA;0.00
AMDM;COLONIA;MEDICINA INTENSIVA;0.00
AMDM;COLONIA;MEDICINA INTENSIVA PEDIÁTRICA;0.00
AMDM;COLONIA;MEDICINA INTERNA;0.00
AMDM;COLONIA;NEFROLOGÍA;0.00
AMDM;COLONIA;NEFROLOGÍA PEDIÁTRICA;0.00
AMDM;COLONIA;NEONATOLOGÍA;0.00
AMDM;COLONIA;NEUMOLOGÍA;0.00
AMDM;COLONIA;NEUMOLOGÍA PEDIÁTRICA;0.00
AMDM;COLONIA;NEUROCIRUGÍA;0.00
AMDM;COLONIA;NEUROLOGÍA;0.00
AMDM;COLONIA;NEUROPEDIATRÍA;0.00
AMDM;COLONIA;OFTALMOLOGÍA;0.00
AMDM;COLONIA;ONCOLOGÍA MÉDICA;0.00
AMDM;COLONIA;ONCOLOGÍA RADIOTERÁPICA;0.00
AMDM;COLONIA;TRAUMATOLOGÍA;0.00
AMDM;COLONIA;OTORRINOLARINGOLOGÍA;0.00
AMDM;COLONIA;PEDIATRÍA;0.00
AMDM;COLONIA;PSICOTERAPIA PSICOANALÍTICA;0.00
AMDM;COLONIA;PSIQUIATRÍA;0.00
AMDM;COLONIA;PSIQUIATRÍA PEDIÁTRICA;0.00
AMDM;COLONIA;REUMATOLOGÍA;0.00
AMDM;COLONIA;UROLOGÍA;0.00
AMDM;COLONIA;UROLOGÍA PEDIÁTRICA;0.00
AMDM;COLONIA;FISIOTERAPÍA;0.00
AMDM;COLONIA;FONOAUDIOLOGÍA;0.00
AMDM;COLONIA;NUTRICIÓN;0.00
AMDM;COLONIA;PSICOLOGÍA;0.00
AMDM;COLONIA;PSICOMOTRICIDAD;0.00
AMDM;COLONIA;PSICOPEDAGOGÍA;0.00
AMDM;COLONIA;TRABAJO SOCIAL;0.00
AMDM;COLONIA;OBSTETRA PARTERA;0.00
AMDM;DURAZNO;MEDICINA GENERAL;0.00
AMDM;DURAZNO;ODONTOLOGÍA;0.00
AMDM;DURAZNO;ALERGOLOGÍA;0.00
AMDM;DURAZNO;ANESTESIOLOGÍA;0.00
AMDM;DURAZNO;CARDIOLOGÍA;0.00
AMDM;DURAZNO;CARDIOLOGÍA PEDIÁTRICA;0.00
AMDM;DURAZNO;CIRUGÍA GENERAL;0.00
AMDM;DURAZNO;CIRUGÍA CARDÍACA;0.00
AMDM;DURAZNO;CIRUGÍA DE TORAX;0.00
AMDM;DURAZNO;CIRUGÍA PEDIÁTRICA;0.00
AMDM;DURAZNO;CIRUGÍA PLÁSTICA;0.00
AMDM;DURAZNO;CIRUGÍA VASCULAR PERIFÉRICA;0.00
AMDM;DURAZNO;CIRUGÍA Y TRAUMATOLOGÍA BUCO-MAXILO-FACIAL;0.00
AMDM;DURAZNO;CUIDADOS PALIATIVOS DEL ADULTO;0.00
AMDM;DURAZNO;DERMATOLOGÍA;0.00
AMDM;DURAZNO;DIABETOLOGÍA;0.00
AMDM;DURAZNO;ENDOCRINOLOGÍA;0.00
AMDM;DURAZNO;ENDOSCOPÍA DIGESTIVA;0.00
AMDM;DURAZNO;ENFERMEDADES INFECCIOSAS;0.00
AMDM;DURAZNO;FISIATRÍA;0.00
AMDM;DURAZNO;GASTROENTEROLOGÍA;0.00
AMDM;DURAZNO;GERIATRÍA;0.00
AMDM;DURAZNO;GINECOTOCOLOGÍA;0.00
AMDM;DURAZNO;HEMATOLOGÍA;0.00
AMDM;DURAZNO;MEDICINA FAMILIAR Y COMUNITARIA;0.00
AMDM;DURAZNO;MEDICINA INTENSIVA;0.00
AMDM;DURAZNO;MEDICINA INTENSIVA PEDIÁTRICA;0.00
AMDM;DURAZNO;MEDICINA INTERNA;0.00
AMDM;DURAZNO;NEFROLOGÍA;0.00
AMDM;DURAZNO;NEFROLOGÍA PEDIÁTRICA;0.00
AMDM;DURAZNO;NEONATOLOGÍA;0.00
AMDM;DURAZNO;NEUMOLOGÍA;0.00
AMDM;DURAZNO;NEUMOLOGÍA PEDIÁTRICA;0.00
AMDM;DURAZNO;NEUROCIRUGÍA;0.00
AMDM;DURAZNO;NEUROLOGÍA;0.00
AMDM;DURAZNO;NEUROPEDIATRÍA;0.00
AMDM;DURAZNO;OFTALMOLOGÍA;0.00
AMDM;DURAZNO;ONCOLOGÍA MÉDICA;0.00
AMDM;DURAZNO;ONCOLOGÍA RADIOTERÁPICA;0.00
AMDM;DURAZNO;TRAUMATOLOGÍA;0.00
AMDM;DURAZNO;OTORRINOLARINGOLOGÍA;0.00
AMDM;DURAZNO;PEDIATRÍA;0.00
AMDM;DURAZNO;PSICOTERAPIA PSICOANALÍTICA;0.00
AMDM;DURAZNO;PSIQUIATRÍA;0.00
AMDM;DURAZNO;PSIQUIATRÍA PEDIÁTRICA;0.00
AMDM;DURAZNO;REUMATOLOGÍA;0.00
AMDM;DURAZNO;UROLOGÍA;0.00
AMDM;DURAZNO;UROLOGÍA PEDIÁTRICA;0.00
AMDM;DURAZNO;FISIOTERAPÍA;0.00
AMDM;DURAZNO;FONOAUDIOLOGÍA;0.00
AMDM;DURAZNO;NUTRICIÓN;0.00
AMDM;DURAZNO;PSICOLOGÍA;0.00
AMDM;DURAZNO;PSICOMOTRICIDAD;0.00
AMDM;DURAZNO;PSICOPEDAGOGÍA;0.00
AMDM;DURAZNO;TRABAJO SOCIAL;0.00
AMDM;DURAZNO;OBSTETRA PARTERA;0.00
AMDM;FLORES;MEDICINA GENERAL;0.00
AMDM;FLORES;ODONTOLOGÍA;0.00
AMDM;FLORES;ALERGOLOGÍA;0.00
AMDM;FLORES;ANESTESIOLOGÍA;0.00
AMDM;FLORES;CARDIOLOGÍA;0.00
AMDM;FLORES;CARDIOLOGÍA PEDIÁTRICA;0.00
AMDM;FLORES;CIRUGÍA GENERAL;0.00
AMDM;FLORES;CIRUGÍA CARDÍACA;0.00
AMDM;FLORES;CIRUGÍA DE TORAX;0.00
AMDM;FLORES;CIRUGÍA PEDIÁTRICA;0.00
AMDM;FLORES;CIRUGÍA PLÁSTICA;0.00
AMDM;FLORES;CIRUGÍA VASCULAR PERIFÉRICA;0.00
AMDM;FLORES;CIRUGÍA Y TRAUMATOLOGÍA BUCO-MAXILO-FACIAL;0.00
AMDM;FLORES;CUIDADOS PALIATIVOS DEL ADULTO;0.00
AMDM;FLORES;DERMATOLOGÍA;0.00
AMDM;FLORES;DIABETOLOGÍA;0.00
AMDM;FLORES;ENDOCRINOLOGÍA;0.00
AMDM;FLORES;ENDOSCOPÍA DIGESTIVA;0.00
AMDM;FLORES;ENFERMEDADES INFECCIOSAS;0.00
AMDM;FLORES;FISIATRÍA;0.00
AMDM;FLORES;GASTROENTEROLOGÍA;0.00
AMDM;FLORES;GERIATRÍA;0.00
AMDM;FLORES;GINECOTOCOLOGÍA;0.00
AMDM;FLORES;HEMATOLOGÍA;0.00
AMDM;FLORES;MEDICINA FAMILIAR Y COMUNITARIA;0.00
AMDM;FLORES;MEDICINA INTENSIVA;0.00
AMDM;FLORES;MEDICINA INTENSIVA PEDIÁTRICA;0.00
AMDM;FLORES;MEDICINA INTERNA;0.00
AMDM;FLORES;NEFROLOGÍA;0.00
AMDM;FLORES;NEFROLOGÍA PEDIÁTRICA;0.00
AMDM;FLORES;NEONATOLOGÍA;0.00
AMDM;FLORES;NEUMOLOGÍA;0.00
AMDM;FLORES;NEUMOLOGÍA PEDIÁTRICA;0.00
AMDM;FLORES;NEUROCIRUGÍA;0.00
AMDM;FLORES;NEUROLOGÍA;0.00
AMDM;FLORES;NEUROPEDIATRÍA;0.00
AMDM;FLORES;OFTALMOLOGÍA;0.00
AMDM;FLORES;ONCOLOGÍA MÉDICA;0.00
AMDM;FLORES;ONCOLOGÍA RADIOTERÁPICA;0.00
AMDM;FLORES;TRAUMATOLOGÍA;0.00
AMDM;FLORES;OTORRINOLARINGOLOGÍA;0.00
AMDM;FLORES;PEDIATRÍA;0.00
AMDM;FLORES;PSICOTERAPIA PSICOANALÍTICA;0.00
AMDM;FLORES;PSIQUIATRÍA;0.00
AMDM;FLORES;PSIQUIATRÍA PEDIÁTRICA;0.00
AMDM;FLORES;REUMATOLOGÍA;0.00
AMDM;FLORES;UROLOGÍA;0.00
AMDM;FLORES;UROLOGÍA PEDIÁTRICA;0.00
AMDM;FLORES;FISIOTERAPÍA;0.00
AMDM;FLORES;FONOAUDIOLOGÍA;0.00
AMDM;FLORES;NUTRICIÓN;0.00
AMDM;FLORES;PSICOLOGÍA;0.00
AMDM;FLORES;PSICOMOTRICIDAD;0.00
AMDM;FLORES;PSICOPEDAGOGÍA;0.00
AMDM;FLORES;TRABAJO SOCIAL;0.00
AMDM;FLORES;OBSTETRA PARTERA;0.00
AMDM;FLORIDA;MEDICINA GENERAL;0.00
AMDM;FLORIDA;ODONTOLOGÍA;0.00
AMDM;FLORIDA;ALERGOLOGÍA;0.00
AMDM;FLORIDA;ANESTESIOLOGÍA;0.00
AMDM;FLORIDA;CARDIOLOGÍA;0.00
AMDM;FLORIDA;CARDIOLOGÍA PEDIÁTRICA;0.00
AMDM;FLORIDA;CIRUGÍA GENERAL;0.00
AMDM;FLORIDA;CIRUGÍA CARDÍACA;0.00
AMDM;FLORIDA;CIRUGÍA DE TORAX;0.00
AMDM;FLORIDA;CIRUGÍA PEDIÁTRICA;0.00
AMDM;FLORIDA;CIRUGÍA PLÁSTICA;0.00
AMDM;FLORIDA;CIRUGÍA VASCULAR PERIFÉRICA;0.00
AMDM;FLORIDA;CIRUGÍA Y TRAUMATOLOGÍA BUCO-MAXILO-FACIAL;0.00
AMDM;FLORIDA;CUIDADOS PALIATIVOS DEL ADULTO;0.00
AMDM;FLORIDA;DERMATOLOGÍA;0.00
AMDM;FLORIDA;DIABETOLOGÍA;0.00
AMDM;FLORIDA;ENDOCRINOLOGÍA;0.00
AMDM;FLORIDA;ENDOSCOPÍA DIGESTIVA;0.00
AMDM;FLORIDA;ENFERMEDADES INFECCIOSAS;0.00
AMDM;FLORIDA;FISIATRÍA;0.00
AMDM;FLORIDA;GASTROENTEROLOGÍA;0.00
AMDM;FLORIDA;GERIATRÍA;0.00
AMDM;FLORIDA;GINECOTOCOLOGÍA;0.00
AMDM;FLORIDA;HEMATOLOGÍA;0.00
AMDM;FLORIDA;MEDICINA FAMILIAR Y COMUNITARIA;0.00
AMDM;FLORIDA;MEDICINA INTENSIVA;0.00
AMDM;FLORIDA;MEDICINA INTENSIVA PEDIÁTRICA;0.00
AMDM;FLORIDA;MEDICINA INTERNA;0.00
AMDM;FLORIDA;NEFROLOGÍA;0.00
AMDM;FLORIDA;NEFROLOGÍA PEDIÁTRICA;0.00
AMDM;FLORIDA;NEONATOLOGÍA;0.00
AMDM;FLORIDA;NEUMOLOGÍA;0.00
AMDM;FLORIDA;NEUMOLOGÍA PEDIÁTRICA;0.00
AMDM;FLORIDA;NEUROCIRUGÍA;0.00
AMDM;FLORIDA;NEUROLOGÍA;0.00
AMDM;FLORIDA;NEUROPEDIATRÍA;0.00
AMDM;FLORIDA;OFTALMOLOGÍA;0.00
AMDM;FLORIDA;ONCOLOGÍA MÉDICA;0.00
AMDM;FLORIDA;ONCOLOGÍA RADIOTERÁPICA;0.00
AMDM;FLORIDA;TRAUMATOLOGÍA;0.00
AMDM;FLORIDA;OTORRINOLARINGOLOGÍA;0.00
AMDM;FLORIDA;PEDIATRÍA;0.00
AMDM;FLORIDA;PSICOTERAPIA PSICOANALÍTICA;0.00
AMDM;FLORIDA;PSIQUIATRÍA;0.00
AMDM;FLORIDA;PSIQUIATRÍA PEDIÁTRICA;0.00
