provider;state;indicator;indicator_value
COMEF IAMPP;ROCHA;MG;0.00
COMEF IAMPP;ROCHA;MFYC;0.00
COMEF IAMPP;ROCHA;Pediatría;0.00
COMEF IAMPP;ROCHA;Gine;0.00
COMEF IAMPP;ROCHA;AE;0.00
COMEF IAMPP;ROCHA;LE;0.00
COMEF IAMPP;SALTO;MG;0.00
COMEF IAMPP;SALTO;MFYC;0.00
COMEF IAMPP;SALTO;Pediatría;0.00
COMEF IAMPP;SALTO;Gine;0.00
COMEF IAMPP;SALTO;AE;0.00
COMEF IAMPP;SALTO;LE;0.00
COMEF IAMPP;SAN JOSÉ;MG;0.00
COMEF IAMPP;SAN JOSÉ;MFYC;0.00
COMEF IAMPP;SAN JOSÉ;Pediatría;0.00
COMEF IAMPP;SAN JOSÉ;Gine;0.00
COMEF IAMPP;SAN JOSÉ;AE;0.00
COMEF IAMPP;SAN JOSÉ;LE;0.00
COMEF IAMPP;SORIANO;MG;0.00
COMEF IAMPP;SORIANO;MFYC;0.00
COMEF IAMPP;SORIANO;Pediatría;0.00
COMEF IAMPP;SORIANO;Gine;0.00
COMEF IAMPP;SORIANO;AE;0.00
COMEF IAMPP;SORIANO;LE;0.00
COMEF IAMPP;TACUAREMBÓ;MG;0.00
COMEF IAMPP;TACUAREMBÓ;MFYC;0.00
COMEF IAMPP;TACUAREMBÓ;Pediatría;0.00
COMEF IAMPP;TACUAREMBÓ;Gine;0.00
COMEF IAMPP;TACUAREMBÓ;AE;0.00
COMEF IAMPP;TACUAREMBÓ;LE;0.00
COMEF IAMPP;TREINTA Y TRES;MG;0.00
COMEF IAMPP;TREINTA Y TRES;MFYC;0.00
COMEF IAMPP;TREINTA Y TRES;Pediatría;0.00
COMEF IAMPP;TREINTA Y TRES;Gine;0.00
COMEF IAMPP;TREINTA Y TRES;AE;0.00
COMEF IAMPP;TREINTA Y TRES;LE;0.00
COMEFLO IAMPP;MONTEVIDEO;MG;0.00
COMEFLO IAMPP;MONTEVIDEO;MFYC;0.00
COMEFLO IAMPP;MONTEVIDEO;Pediatría;0.00
COMEFLO IAMPP;MONTEVIDEO;Gine;0.00
COMEFLO IAMPP;MONTEVIDEO;AE;0.00
COMEFLO IAMPP;MONTEVIDEO;LE;0.00
COMEFLO IAMPP;ARTIGAS;MG;0.00
COMEFLO IAMPP;ARTIGAS;MFYC;0.00
COMEFLO IAMPP;ARTIGAS;Pediatría;0.00
COMEFLO IAMPP;ARTIGAS;Gine;0.00
COMEFLO IAMPP;ARTIGAS;AE;0.00
COMEFLO IAMPP;ARTIGAS;LE;0.00
COMEFLO IAMPP;CANELONES;MG;0.00
COMEFLO IAMPP;CANELONES;MFYC;0.00
COMEFLO IAMPP;CANELONES;Pediatría;0.00
COMEFLO IAMPP;CANELONES;Gine;0.00
COMEFLO IAMPP;CANELONES;AE;0.00
COMEFLO IAMPP;CANELONES;LE;0.00
COMEFLO IAMPP;CERRO LARGO;MG;0.00
COMEFLO IAMPP;CERRO LARGO;MFYC;0.00
COMEFLO IAMPP;CERRO LARGO;Pediatría;0.00
COMEFLO IAMPP;CERRO LARGO;Gine;0.00
COMEFLO IAMPP;CERRO LARGO;AE;0.00
COMEFLO IAMPP;CERRO LARGO;LE;0.00
COMEFLO IAMPP;COLONIA;MG;0.00
COMEFLO IAMPP;COLONIA;MFYC;0.00
COMEFLO IAMPP;COLONIA;Pediatría;0.00
COMEFLO IAMPP;COLONIA;Gine;0.00
COMEFLO IAMPP;COLONIA;AE;0.00
COMEFLO IAMPP;COLONIA;LE;0.00
COMEFLO IAMPP;DURAZNO;MG;0.00
COMEFLO IAMPP;DURAZNO;MFYC;0.00
COMEFLO IAMPP;DURAZNO;Pediatría;0.00
COMEFLO IAMPP;DURAZNO;Gine;0.00
COMEFLO IAMPP;DURAZNO;AE;0.00
COMEFLO IAMPP;DURAZNO;LE;0.00
COMEFLO IAMPP;FLORES;MG;1.48
COMEFLO IAMPP;FLORES;MFYC;0.00
COMEFLO IAMPP;FLORES;Pediatría;4.40
COMEFLO IAMPP;FLORES;Gine;1.48
COMEFLO IAMPP;FLORES;AE;0.00
COMEFLO IAMPP;FLORES;LE;0.00
COMEFLO IAMPP;FLORIDA;MG;0.00
COMEFLO IAMPP;FLORIDA;MFYC;0.00
COMEFLO IAMPP;FLORIDA;Pediatría;0.00
COMEFLO IAMPP;FLORIDA;Gine;0.00
COMEFLO IAMPP;FLORIDA;AE;0.00
COMEFLO IAMPP;FLORIDA;LE;0.00
COMEFLO IAMPP;LAVALLEJA;MG;0.00
COMEFLO IAMPP;LAVALLEJA;MFYC;0.00
COMEFLO IAMPP;LAVALLEJA;Pediatría;0.00
COMEFLO IAMPP;LAVALLEJA;Gine;0.00
COMEFLO IAMPP;LAVALLEJA;AE;0.00
COMEFLO IAMPP;LAVALLEJA;LE;0.00
COMEFLO IAMPP;MALDONADO;MG;0.00
COMEFLO IAMPP;MALDONADO;MFYC;0.00
COMEFLO IAMPP;MALDONADO;Pediatría;0.00
COMEFLO IAMPP;MALDONADO;Gine;0.00
COMEFLO IAMPP;MALDONADO;AE;0.00
COMEFLO IAMPP;MALDONADO;LE;0.00
COMEFLO IAMPP;PAYSANDÚ;MG;0.00
COMEFLO IAMPP;PAYSANDÚ;MFYC;0.00
COMEFLO IAMPP;PAYSANDÚ;Pediatría;0.00
COMEFLO IAMPP;PAYSANDÚ;Gine;0.00
COMEFLO IAMPP;PAYSANDÚ;AE;0.00
COMEFLO IAMPP;PAYSANDÚ;LE;0.00
COMEFLO IAMPP;RÍO NEGRO;MG;0.00
COMEFLO IAMPP;RÍO NEGRO;MFYC;0.00
COMEFLO IAMPP;RÍO NEGRO;Pediatría;0.00
COMEFLO IAMPP;RÍO NEGRO;Gine;0.00
COMEFLO IAMPP;RÍO NEGRO;AE;0.00
COMEFLO IAMPP;RÍO NEGRO;LE;0.00
COMEFLO IAMPP;RIVERA;MG;0.00
COMEFLO IAMPP;RIVERA;MFYC;0.00
COMEFLO IAMPP;RIVERA;Pediatría;0.00
COMEFLO IAMPP;RIVERA;Gine;0.00
COMEFLO IAMPP;RIVERA;AE;0.00
COMEFLO IAMPP;RIVERA;LE;0.00
COMEFLO IAMPP;ROCHA;MG;0.00
COMEFLO IAMPP;ROCHA;MFYC;0.00
COMEFLO IAMPP;ROCHA;Pediatría;0.00
COMEFLO IAMPP;ROCHA;Gine;0.00
COMEFLO IAMPP;ROCHA;AE;0.00
COMEFLO IAMPP;ROCHA;LE;0.00
COMEFLO IAMPP;SALTO;MG;0.00
COMEFLO IAMPP;SALTO;MFYC;0.00
COMEFLO IAMPP;SALTO;Pediatría;0.00
COMEFLO IAMPP;SALTO;Gine;0.00
COMEFLO IAMPP;SALTO;AE;0.00
COMEFLO IAMPP;SALTO;LE;0.00
COMEFLO IAMPP;SAN JOSÉ;MG;0.00
COMEFLO IAMPP;SAN JOSÉ;MFYC;0.00
COMEFLO IAMPP;SAN JOSÉ;Pediatría;0.00
COMEFLO IAMPP;SAN JOSÉ;Gine;0.00
COMEFLO IAMPP;SAN JOSÉ;AE;0.00
COMEFLO IAMPP;SAN JOSÉ;LE;0.00
COMEFLO IAMPP;SORIANO;MG;0.00
COMEFLO IAMPP;SORIANO;MFYC;0.00
COMEFLO IAMPP;SORIANO;Pediatría;0.00
COMEFLO IAMPP;SORIANO;Gine;0.00
COMEFLO IAMPP;SORIANO;AE;0.00
COMEFLO IAMPP;SORIANO;LE;0.00
COMEFLO IAMPP;TACUAREMBÓ;MG;0.00
COMEFLO IAMPP;TACUAREMBÓ;MFYC;0.00
COMEFLO IAMPP;TACUAREMBÓ;Pediatría;0.00
COMEFLO IAMPP;TACUAREMBÓ;Gine;0.00
COMEFLO IAMPP;TACUAREMBÓ;AE;0.00
COMEFLO IAMPP;TACUAREMBÓ;LE;0.00
COMEFLO IAMPP;TREINTA Y TRES;MG;0.00
COMEFLO IAMPP;TREINTA Y TRES;MFYC;0.00
COMEFLO IAMPP;TREINTA Y TRES;Pediatría;0.00
COMEFLO IAMPP;TREINTA Y TRES;Gine;0.00
COMEFLO IAMPP;TREINTA Y TRES;AE;0.00
COMEFLO IAMPP;TREINTA Y TRES;LE;0.00
COMEF IAMPP;total país;MG;3.81
COMEF IAMPP;total país;MFYC;0.00
COMEF IAMPP;total país;Pediatría;4.55
COMEF IAMPP;total país;Gine;1.75
COMEF IAMPP;total país;AE;32.33
COMEF IAMPP;total país;LE;0.88
COMEFLO IAMPP;total país;MG;1.48
COMEFLO IAMPP;total país;MFYC;0.00
COMEFLO IAMPP;total país;Pediatría;4.40
COMEFLO IAMPP;total país;Gine;1.48
COMEFLO IAMPP;total país;AE;0.00
COMEFLO IAMPP;total país;LE;0.00
