provider;state;specialty;indicator_value
AMDM;MALDONADO;ESPECIALISTA EN PEDIATRIA;9.56
AMDM;MALDONADO;ESPECIALISTA EN PSIQUIATRIA;0.39
AMDM;MALDONADO;ESPECIALISTA EN PSIQUIATRIA PEDIATRICA;0.85
AMDM;MALDONADO;ESPECIALISTA EN REUMATOLOGIA;0.06
AMDM;MALDONADO;ESPECIALISTA EN UROLOGIA;0.13
AMDM;MALDONADO;LICENCIADO EN NUTRICION;1.55
AMDM;MALDONADO;LICENCIADO EN PSICOLOGIA;0.48
AMDM;MALDONADO;LICENCIADO EN TRABAJO SOCIAL;0.17
AMDM;MALDONADO;OBSTETRA PARTERA;1.89
AMEDRIN;RÍO NEGRO;DOCTOR EN MEDICINA;11.53
AMEDRIN;RÍO NEGRO;DOCTOR EN ODONTOLOGIA;0.63
AMEDRIN;RÍO NEGRO;ESPECIALISTA EN ALERGOLOGIA;0.10
AMEDRIN;RÍO NEGRO;ESPECIALISTA EN ANESTESIOLOGIA;2.12
AMEDRIN;RÍO NEGRO;ESPECIALISTA EN CARDIOLOGIA;2.05
AMEDRIN;RÍO NEGRO;ESPECIALISTA EN CIRUGIA GENERAL;2.42
AMEDRIN;RÍO NEGRO;ESPECIALISTA EN CIRUGIA PLASTICA REPARADORA Y ESTETICA;0.18
AMEDRIN;RÍO NEGRO;ESPECIALISTA EN DERMATOLOGIA MEDICO QUIRURGICA;0.04
AMEDRIN;RÍO NEGRO;ESPECIALISTA EN ENDOCRINOLOGIA;0.32
AMEDRIN;RÍO NEGRO;ESPECIALISTA EN GASTROENTEROLOGIA;0.59
AMEDRIN;RÍO NEGRO;ESPECIALISTA EN GERIATRIA GERONTOLOGICA;1.65
AMEDRIN;RÍO NEGRO;ESPECIALISTA EN GINECOTOCOLOGIA;8.75
AMEDRIN;RÍO NEGRO;ESPECIALISTA EN MEDICINA FAMILIAR Y COMUNITARIA;1.47
AMEDRIN;RÍO NEGRO;ESPECIALISTA EN MEDICINA INTENSIVA;5.51
AMEDRIN;RÍO NEGRO;ESPECIALISTA EN MEDICINA INTERNA;1.38
AMEDRIN;RÍO NEGRO;ESPECIALISTA EN NEFROLOGIA;1.62
AMEDRIN;RÍO NEGRO;ESPECIALISTA EN NEUMOLOGIA;0.13
AMEDRIN;RÍO NEGRO;ESPECIALISTA EN NEUROLOGIA;0.08
AMEDRIN;RÍO NEGRO;ESPECIALISTA EN NEUROPEDIATRIA;0.13
AMEDRIN;RÍO NEGRO;ESPECIALISTA EN OFTALMOLOGIA;1.46
AMEDRIN;RÍO NEGRO;ESPECIALISTA EN ONCOLOGIA MEDICA;0.06
AMEDRIN;RÍO NEGRO;ESPECIALISTA EN ORTOPEDIA Y TRAUMATOLOGIA;1.41
AMEDRIN;RÍO NEGRO;ESPECIALISTA EN OTORRINOLARINGOLOGIA;0.81
AMEDRIN;RÍO NEGRO;ESPECIALISTA EN PEDIATRIA;35.24
AMEDRIN;RÍO NEGRO;ESPECIALISTA EN PSIQUIATRIA;1.00
AMEDRIN;RÍO NEGRO;ESPECIALISTA EN PSIQUIATRIA PEDIATRICA;0.45
AMEDRIN;RÍO NEGRO;ESPECIALISTA EN REUMATOLOGIA;0.10
AMEDRIN;RÍO NEGRO;ESPECIALISTA EN UROLOGIA;1.22
AMEDRIN;RÍO NEGRO;LICENCIADO EN FISIOTERAPIA;0.98
AMEDRIN;RÍO NEGRO;LICENCIADO EN FONOAUDIOLOGIA;1.57
AMEDRIN;RÍO NEGRO;LICENCIADO EN NUTRICION;0.85
AMEDRIN;RÍO NEGRO;LICENCIADO EN PSICOLOGIA;2.16
AMEDRIN;RÍO NEGRO;LICENCIADO EN PSICOMOTRICIDAD;0.08
AMEDRIN;RÍO NEGRO;LICENCIADO EN TRABAJO SOCIAL;0.28
AMEDRIN;RÍO NEGRO;OBSTETRA PARTERA;6.89
AMSJ;SAN JOSÉ;DOCTOR EN MEDICINA;6.99
AMSJ;SAN JOSÉ;ESPECIALISTA EN ALERGOLOGIA;0.01
AMSJ;SAN JOSÉ;ESPECIALISTA EN ANESTESIOLOGIA;0.52
AMSJ;SAN JOSÉ;ESPECIALISTA EN CARDIOLOGIA;0.44
AMSJ;SAN JOSÉ;ESPECIALISTA EN CIRUGIA GENERAL;0.29
AMSJ;SAN JOSÉ;ESPECIALISTA EN CIRUGIA PLASTICA REPARADORA Y ESTETICA;0.06
AMSJ;SAN JOSÉ;ESPECIALISTA EN CIRUGIA VASCULAR PERIFERICA;0.00
AMSJ;SAN JOSÉ;ESPECIALISTA EN DERMATOLOGIA MEDICO QUIRURGICA;0.24
AMSJ;SAN JOSÉ;ESPECIALISTA EN DIABETOLOGIA;0.00
AMSJ;SAN JOSÉ;ESPECIALISTA EN ENDOCRINOLOGIA;0.18
AMSJ;SAN JOSÉ;ESPECIALISTA EN ENFERMEDADES INFECCIOSAS;0.18
AMSJ;SAN JOSÉ;ESPECIALISTA EN FISIATRIA;0.03
AMSJ;SAN JOSÉ;ESPECIALISTA EN GASTROENTEROLOGIA;0.12
AMSJ;SAN JOSÉ;ESPECIALISTA EN GINECOTOCOLOGIA;1.38
AMSJ;SAN JOSÉ;ESPECIALISTA EN HEMATOLOGIA;0.06
AMSJ;SAN JOSÉ;ESPECIALISTA EN MEDICINA FAMILIAR Y COMUNITARIA;0.15
AMSJ;SAN JOSÉ;ESPECIALISTA EN MEDICINA INTENSIVA;1.40
AMSJ;SAN JOSÉ;ESPECIALISTA EN MEDICINA INTENSIVA PEDIÁTRICA;1.01
AMSJ;SAN JOSÉ;ESPECIALISTA EN MEDICINA INTERNA;1.72
AMSJ;SAN JOSÉ;ESPECIALISTA EN NEFROLOGIA;0.11
AMSJ;SAN JOSÉ;ESPECIALISTA EN NEONATOLOGIA;183.31
AMSJ;SAN JOSÉ;ESPECIALISTA EN NEUMOLOGIA;0.17
AMSJ;SAN JOSÉ;ESPECIALISTA EN NEUROLOGIA;0.14
AMSJ;SAN JOSÉ;ESPECIALISTA EN NEUROPEDIATRIA;0.06
AMSJ;SAN JOSÉ;ESPECIALISTA EN OFTALMOLOGIA;0.13
AMSJ;SAN JOSÉ;ESPECIALISTA EN ONCOLOGIA MEDICA;0.19
AMSJ;SAN JOSÉ;ESPECIALISTA EN ORTOPEDIA Y TRAUMATOLOGIA;0.18
AMSJ;SAN JOSÉ;ESPECIALISTA EN OTORRINOLARINGOLOGIA;0.13
AMSJ;SAN JOSÉ;ESPECIALISTA EN PEDIATRIA;6.51
AMSJ;SAN JOSÉ;ESPECIALISTA EN PSIQUIATRIA;0.47
AMSJ;SAN JOSÉ;ESPECIALISTA EN PSIQUIATRIA PEDIATRICA;0.18
AMSJ;SAN JOSÉ;ESPECIALISTA EN REUMATOLOGIA;0.33
AMSJ;SAN JOSÉ;ESPECIALISTA EN UROLOGIA;0.06
AMSJ;SAN JOSÉ;LICENCIADO EN FISIOTERAPIA;0.34
AMSJ;SAN JOSÉ;LICENCIADO EN NUTRICION;0.94
AMSJ;SAN JOSÉ;LICENCIADO EN PSICOLOGIA;1.14
AMSJ;SAN JOSÉ;LICENCIADO EN TRABAJO SOCIAL;0.22
AMSJ;SAN JOSÉ;OBSTETRA PARTERA;2.18
ASOCIACION ESPAÑOLA;CANELONES;DOCTOR EN MEDICINA;7.43
ASOCIACION ESPAÑOLA;CANELONES;DOCTOR EN ODONTOLOGIA;1.12
ASOCIACION ESPAÑOLA;CANELONES;ESPECIALISTA EN CARDIOLOGIA;0.50
ASOCIACION ESPAÑOLA;CANELONES;ESPECIALISTA EN CIRUGIA GENERAL;0.03
ASOCIACION ESPAÑOLA;CANELONES;ESPECIALISTA EN CIRUGIA INFANTIL O PEDIATRICA;0.16
ASOCIACION ESPAÑOLA;CANELONES;ESPECIALISTA EN DERMATOLOGIA MEDICO QUIRURGICA;0.10
ASOCIACION ESPAÑOLA;CANELONES;ESPECIALISTA EN DIABETOLOGIA;0.07
ASOCIACION ESPAÑOLA;CANELONES;ESPECIALISTA EN ENDOCRINOLOGIA;0.13
ASOCIACION ESPAÑOLA;CANELONES;ESPECIALISTA EN ENFERMEDADES INFECCIOSAS;0.01
ASOCIACION ESPAÑOLA;CANELONES;ESPECIALISTA EN FISIATRIA;0.00
ASOCIACION ESPAÑOLA;CANELONES;ESPECIALISTA EN GASTROENTEROLOGIA;0.10
ASOCIACION ESPAÑOLA;CANELONES;ESPECIALISTA EN GINECOTOCOLOGIA;0.61
ASOCIACION ESPAÑOLA;CANELONES;ESPECIALISTA EN MEDICINA FAMILIAR Y COMUNITARIA;0.09
ASOCIACION ESPAÑOLA;CANELONES;ESPECIALISTA EN MEDICINA INTENSIVA;0.17
ASOCIACION ESPAÑOLA;CANELONES;ESPECIALISTA EN MEDICINA INTERNA;0.09
ASOCIACION ESPAÑOLA;CANELONES;ESPECIALISTA EN NEFROLOGIA;0.03
ASOCIACION ESPAÑOLA;CANELONES;ESPECIALISTA EN NEUMOLOGIA;0.09
ASOCIACION ESPAÑOLA;CANELONES;ESPECIALISTA EN NEUROLOGIA;0.18
ASOCIACION ESPAÑOLA;CANELONES;ESPECIALISTA EN OFTALMOLOGIA;0.12
ASOCIACION ESPAÑOLA;CANELONES;ESPECIALISTA EN ORTOPEDIA Y TRAUMATOLOGIA;0.31
ASOCIACION ESPAÑOLA;CANELONES;ESPECIALISTA EN OTORRINOLARINGOLOGIA;0.11
ASOCIACION ESPAÑOLA;CANELONES;ESPECIALISTA EN PEDIATRIA;6.50
ASOCIACION ESPAÑOLA;CANELONES;ESPECIALISTA EN PSIQUIATRIA;0.33
ASOCIACION ESPAÑOLA;CANELONES;ESPECIALISTA EN PSIQUIATRIA PEDIATRICA;0.56
ASOCIACION ESPAÑOLA;CANELONES;ESPECIALISTA EN REUMATOLOGIA;0.06
ASOCIACION ESPAÑOLA;CANELONES;ESPECIALISTA EN UROLOGIA;0.58
ASOCIACION ESPAÑOLA;CANELONES;LICENCIADO EN FISIOTERAPIA;0.13
ASOCIACION ESPAÑOLA;CANELONES;LICENCIADO EN FONOAUDIOLOGIA;0.07
ASOCIACION ESPAÑOLA;CANELONES;LICENCIADO EN NUTRICION;0.10
ASOCIACION ESPAÑOLA;CANELONES;LICENCIADO EN PSICOLOGIA;0.12
ASOCIACION ESPAÑOLA;MALDONADO;DOCTOR EN MEDICINA;11.53
ASOCIACION ESPAÑOLA;MALDONADO;ESPECIALISTA EN CARDIOLOGIA;5.02
ASOCIACION ESPAÑOLA;MALDONADO;ESPECIALISTA EN CIRUGIA GENERAL;0.97
ASOCIACION ESPAÑOLA;MALDONADO;ESPECIALISTA EN DERMATOLOGIA MEDICO QUIRURGICA;0.10
ASOCIACION ESPAÑOLA;MALDONADO;ESPECIALISTA EN DIABETOLOGIA;0.00
ASOCIACION ESPAÑOLA;MALDONADO;ESPECIALISTA EN GINECOTOCOLOGIA;0.47
ASOCIACION ESPAÑOLA;MALDONADO;ESPECIALISTA EN PEDIATRIA;30.98
ASOCIACION ESPAÑOLA;MALDONADO;ESPECIALISTA EN UROLOGIA;0.11
ASOCIACION ESPAÑOLA;MONTEVIDEO;DOCTOR EN MEDICINA;14.16
ASOCIACION ESPAÑOLA;MONTEVIDEO;DOCTOR EN ODONTOLOGIA;0.70
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN ANESTESIOLOGIA;2.32
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN CARDIOLOGIA;1.45
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN CARDIOLOGIA PEDIATRICA;0.94
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN CIRUGIA CARDIACA;0.01
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN CIRUGIA DE TORAX;0.32
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN CIRUGIA GENERAL;3.73
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN CIRUGIA INFANTIL O PEDIATRICA;2.26
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN CIRUGIA PLASTICA REPARADORA Y ESTETICA;0.37
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN CIRUGIA VASCULAR PERIFERICA;0.45
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN CUIDADOS PALIATIVOS DEL ADULTO;0.01
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN DERMATOLOGIA MEDICO QUIRURGICA;0.59
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN DIABETOLOGIA;0.32
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN ENDOCRINOLOGIA;0.38
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN ENDOSCOPIA DIGESTIVA;0.09
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN ENFERMEDADES INFECCIOSAS;0.11
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN FISIATRIA;0.16
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN GASTROENTEROLOGIA;0.59
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN GERIATRIA GERONTOLOGICA;0.37
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN GINECOTOCOLOGIA;4.41
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN HEMATOLOGIA;0.28
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN MEDICINA FAMILIAR Y COMUNITARIA;0.01
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN MEDICINA INTENSIVA;3.68
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN MEDICINA INTENSIVA PEDIÁTRICA;2.74
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN MEDICINA INTERNA;2.17
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN NEFROLOGIA;0.61
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN NEFROLOGIA PEDIATRICA;0.15
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN NEONATOLOGIA;95.62
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN NEUMOLOGIA;0.44
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN NEUROCIRUGIA;0.31
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN NEUROLOGIA;0.69
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN NEUROPEDIATRIA;2.27
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN OFTALMOLOGIA;0.64
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN ONCOLOGIA MEDICA;0.51
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN ORTOPEDIA Y TRAUMATOLOGIA;1.68
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN OTORRINOLARINGOLOGIA;0.22
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN PEDIATRIA;18.56
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN PSIQUIATRIA;0.81
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN PSIQUIATRIA PEDIATRICA;2.14
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN REUMATOLOGIA;0.20
ASOCIACION ESPAÑOLA;MONTEVIDEO;ESPECIALISTA EN UROLOGIA;1.01
ASOCIACION ESPAÑOLA;MONTEVIDEO;LICENCIADO EN FISIOTERAPIA;3.42
ASOCIACION ESPAÑOLA;MONTEVIDEO;LICENCIADO EN FONOAUDIOLOGIA;0.62
ASOCIACION ESPAÑOLA;MONTEVIDEO;LICENCIADO EN NUTRICION;3.04
ASOCIACION ESPAÑOLA;MONTEVIDEO;LICENCIADO EN PSICOLOGIA;2.40
ASOCIACION ESPAÑOLA;MONTEVIDEO;LICENCIADO EN PSICOMOTRICIDAD;0.01
ASOCIACION ESPAÑOLA;MONTEVIDEO;LICENCIADO EN TRABAJO SOCIAL;0.15
ASOCIACION ESPAÑOLA;MONTEVIDEO;OBSTETRA PARTERA;1.11
ASOCIACION ESPAÑOLA;SAN JOSÉ;DOCTOR EN MEDICINA;0.00
ASOCIACION ESPAÑOLA;SAN JOSÉ;ESPECIALISTA EN OTORRINOLARINGOLOGIA;0.00
CAAMEPA;CANELONES;DOCTOR EN MEDICINA;9.22
CAAMEPA;CANELONES;DOCTOR EN ODONTOLOGIA;0.00
CAAMEPA;CANELONES;ESPECIALISTA EN ANESTESIOLOGIA;0.03
CAAMEPA;CANELONES;ESPECIALISTA EN CARDIOLOGIA;0.18
CAAMEPA;CANELONES;ESPECIALISTA EN CIRUGIA GENERAL;0.19
CAAMEPA;CANELONES;ESPECIALISTA EN CIRUGIA INFANTIL O PEDIATRICA;0.83
CAAMEPA;CANELONES;ESPECIALISTA EN CIRUGIA PLASTICA REPARADORA Y ESTETICA;0.12
CAAMEPA;CANELONES;ESPECIALISTA EN CIRUGIA VASCULAR PERIFERICA;0.02
CAAMEPA;CANELONES;ESPECIALISTA EN CIRUGIA Y TRAUMATOLOGIA BUCO-MAXILO-FACIAL;0.00
CAAMEPA;CANELONES;ESPECIALISTA EN DERMATOLOGIA MEDICO QUIRURGICA;0.24
CAAMEPA;CANELONES;ESPECIALISTA EN DIABETOLOGIA;0.00
CAAMEPA;CANELONES;ESPECIALISTA EN ENDOCRINOLOGIA;0.00
CAAMEPA;CANELONES;ESPECIALISTA EN ENFERMEDADES INFECCIOSAS;0.00
CAAMEPA;CANELONES;ESPECIALISTA EN FISIATRIA;0.14
CAAMEPA;CANELONES;ESPECIALISTA EN GASTROENTEROLOGIA;0.07
CAAMEPA;CANELONES;ESPECIALISTA EN GERIATRIA GERONTOLOGICA;0.33
CAAMEPA;CANELONES;ESPECIALISTA EN GINECOTOCOLOGIA;0.93
CAAMEPA;CANELONES;ESPECIALISTA EN HEMATOLOGIA;0.05
CAAMEPA;CANELONES;ESPECIALISTA EN MEDICINA INTENSIVA;0.02
CAAMEPA;CANELONES;ESPECIALISTA EN MEDICINA INTERNA;0.18
CAAMEPA;CANELONES;ESPECIALISTA EN NEFROLOGIA;0.00
CAAMEPA;CANELONES;ESPECIALISTA EN NEONATOLOGIA;0.00
CAAMEPA;CANELONES;ESPECIALISTA EN NEUMOLOGIA;0.04
CAAMEPA;CANELONES;ESPECIALISTA EN NEUROCIRUGIA;0.00
CAAMEPA;CANELONES;ESPECIALISTA EN NEUROLOGIA;0.88
CAAMEPA;CANELONES;ESPECIALISTA EN OFTALMOLOGIA;0.16
CAAMEPA;CANELONES;ESPECIALISTA EN ONCOLOGIA MEDICA;0.13
CAAMEPA;CANELONES;ESPECIALISTA EN ORTOPEDIA Y TRAUMATOLOGIA;0.13
CAAMEPA;CANELONES;ESPECIALISTA EN OTORRINOLARINGOLOGIA;0.24
CAAMEPA;CANELONES;ESPECIALISTA EN PEDIATRIA;6.96
CAAMEPA;CANELONES;ESPECIALISTA EN PSIQUIATRIA;0.57
CAAMEPA;CANELONES;ESPECIALISTA EN PSIQUIATRIA PEDIATRICA;0.25
CAAMEPA;CANELONES;ESPECIALISTA EN REUMATOLOGIA;0.06
CAAMEPA;CANELONES;ESPECIALISTA EN UROLOGIA;0.34
CAAMEPA;CANELONES;LICENCIADO EN FISIOTERAPIA;4.73
CAAMEPA;CANELONES;LICENCIADO EN NUTRICION;1.86
CAAMEPA;CANELONES;LICENCIADO EN PSICOLOGIA;1.32
CAAMEPA;CANELONES;LICENCIADO EN TRABAJO SOCIAL;0.23
CAAMEPA;CANELONES;OBSTETRA PARTERA;2.15
CAMCEL;CERRO LARGO;DOCTOR EN MEDICINA;0.65
CAMCEL;CERRO LARGO;DOCTOR EN ODONTOLOGIA;0.00
CAMCEL;CERRO LARGO;ESPECIALISTA EN ANESTESIOLOGIA;0.06
CAMCEL;CERRO LARGO;ESPECIALISTA EN CARDIOLOGIA;0.03
CAMCEL;CERRO LARGO;ESPECIALISTA EN CIRUGIA GENERAL;0.02
CAMCEL;CERRO LARGO;ESPECIALISTA EN CIRUGIA PLASTICA REPARADORA Y ESTETICA;0.00
CAMCEL;CERRO LARGO;ESPECIALISTA EN CIRUGIA VASCULAR PERIFERICA;0.00
CAMCEL;CERRO LARGO;ESPECIALISTA EN DERMATOLOGIA MEDICO QUIRURGICA;0.00
CAMCEL;CERRO LARGO;ESPECIALISTA EN ENDOCRINOLOGIA;0.00
CAMCEL;CERRO LARGO;ESPECIALISTA EN FISIATRIA;0.00
CAMCEL;CERRO LARGO;ESPECIALISTA EN GASTROENTEROLOGIA;0.01
CAMCEL;CERRO LARGO;ESPECIALISTA EN GINECOTOCOLOGIA;0.22
CAMCEL;CERRO LARGO;ESPECIALISTA EN HEMATOLOGIA;0.00
CAMCEL;CERRO LARGO;ESPECIALISTA EN MEDICINA FAMILIAR Y COMUNITARIA;0.00
CAMCEL;CERRO LARGO;ESPECIALISTA EN MEDICINA INTENSIVA;0.00
CAMCEL;CERRO LARGO;ESPECIALISTA EN MEDICINA INTERNA;0.00
CAMCEL;CERRO LARGO;ESPECIALISTA EN NEFROLOGIA;0.00
CAMCEL;CERRO LARGO;ESPECIALISTA EN NEONATOLOGIA;0.56
CAMCEL;CERRO LARGO;ESPECIALISTA EN NEUMOLOGIA;0.00
CAMCEL;CERRO LARGO;ESPECIALISTA EN NEUROLOGIA;0.01
CAMCEL;CERRO LARGO;ESPECIALISTA EN NEUROPEDIATRIA;0.00
CAMCEL;CERRO LARGO;ESPECIALISTA EN OFTALMOLOGIA;0.00
CAMCEL;CERRO LARGO;ESPECIALISTA EN ONCOLOGIA MEDICA;0.00
CAMCEL;CERRO LARGO;ESPECIALISTA EN ORTOPEDIA Y TRAUMATOLOGIA;0.01
CAMCEL;CERRO LARGO;ESPECIALISTA EN OTORRINOLARINGOLOGIA;0.00
CAMCEL;CERRO LARGO;ESPECIALISTA EN PEDIATRIA;0.02
CAMCEL;CERRO LARGO;ESPECIALISTA EN PSIQUIATRIA;0.00
CAMCEL;CERRO LARGO;ESPECIALISTA EN PSIQUIATRIA PEDIATRICA;0.02
CAMCEL;CERRO LARGO;ESPECIALISTA EN REUMATOLOGIA;0.00
CAMCEL;CERRO LARGO;ESPECIALISTA EN UROLOGIA;0.00
CAMCEL;CERRO LARGO;LICENCIADO EN FISIOTERAPIA;0.00
CAMCEL;CERRO LARGO;LICENCIADO EN NUTRICION;0.05
CAMCEL;CERRO LARGO;LICENCIADO EN PSICOLOGIA;0.00
CAMCEL;CERRO LARGO;LICENCIADO EN TRABAJO SOCIAL;0.00
CAMCEL;CERRO LARGO;OBSTETRA PARTERA;0.03
CAMCEL;TREINTA Y TRES;DOCTOR EN MEDICINA;0.00
CAMCEL;TREINTA Y TRES;DOCTOR EN ODONTOLOGIA;0.00
CAMDEL;LAVALLEJA;DOCTOR EN MEDICINA;9.01
CAMDEL;LAVALLEJA;DOCTOR EN ODONTOLOGIA;0.10
CAMDEL;LAVALLEJA;ESPECIALISTA EN ANESTESIOLOGIA;0.81
CAMDEL;LAVALLEJA;ESPECIALISTA EN CARDIOLOGIA;0.43
CAMDEL;LAVALLEJA;ESPECIALISTA EN CARDIOLOGIA PEDIATRICA;0.00
CAMDEL;LAVALLEJA;ESPECIALISTA EN CIRUGIA DE TORAX;0.04
CAMDEL;LAVALLEJA;ESPECIALISTA EN CIRUGIA GENERAL;0.52
CAMDEL;LAVALLEJA;ESPECIALISTA EN CIRUGIA INFANTIL O PEDIATRICA;2.79
CAMDEL;LAVALLEJA;ESPECIALISTA EN CIRUGIA PLASTICA REPARADORA Y ESTETICA;0.06
CAMDEL;LAVALLEJA;ESPECIALISTA EN CIRUGIA VASCULAR PERIFERICA;0.12
CAMDEL;LAVALLEJA;ESPECIALISTA EN CIRUGIA Y TRAUMATOLOGIA BUCO-MAXILO-FACIAL;0.00
CAMDEL;LAVALLEJA;ESPECIALISTA EN DERMATOLOGIA MEDICO QUIRURGICA;0.23
CAMDEL;LAVALLEJA;ESPECIALISTA EN ENDOCRINOLOGIA;0.43
CAMDEL;LAVALLEJA;ESPECIALISTA EN ENDOSCOPIA DIGESTIVA;0.05
CAMDEL;LAVALLEJA;ESPECIALISTA EN ENFERMEDADES INFECCIOSAS;0.02
CAMDEL;LAVALLEJA;ESPECIALISTA EN FISIATRIA;0.71
CAMDEL;LAVALLEJA;ESPECIALISTA EN GASTROENTEROLOGIA;0.09
CAMDEL;LAVALLEJA;ESPECIALISTA EN GERIATRIA GERONTOLOGICA;1.59
CAMDEL;LAVALLEJA;ESPECIALISTA EN GINECOTOCOLOGIA;4.00
CAMDEL;LAVALLEJA;ESPECIALISTA EN HEMATOLOGIA;0.23
CAMDEL;LAVALLEJA;ESPECIALISTA EN MEDICINA INTENSIVA;2.89
CAMDEL;LAVALLEJA;ESPECIALISTA EN MEDICINA INTENSIVA PEDIÁTRICA;2.80
CAMDEL;LAVALLEJA;ESPECIALISTA EN MEDICINA INTERNA;2.01
