"id","Nombre abreviado","Nombre Completo","Web","Total de afiliados"
7062,"COMEPA","Corporacion Medica De Paysandu","www.comepa.com.uy",61367
7214,"AMEDRIN","Asistencial Medica De Rio Negro ","www.amedrin.com.uy",9619
7264,"CAMY","Cooperativa De Asistencia Medica De Young","www.camy.com.uy",7975
7466,"CASMER","Centro Asistencial Medica De Rivera","www.casmer.com.uy",34573
7553,"COMERI","Cooperativa Medica De Rivera","www.comeri.com.uy",24277
7618,"COMERO","Cooperativa Medica De Rocha","www.comero.com.uy",39436
7719,"SMQS","Sociedad Medico Quirurgica De Salto","www.smqs.com.uy",61353
7810,"AMSJ","Asociacion Medica De San Jose","www.amsj.com.uy",49607
8012,"CAMS","Centro Asistencial Medico De Soriano","www.camsor.com.uy",45475
8163,"COMTA","Corporacion Medica De Tacuarembo","www.comta.com.uy",37222
8220,"COMETT","Cooperativa Medica De Treinta Y Tres","www.comett.com.uy",1161
8264,"IAC","Instituto Asistencial Colectivo","www.iac.com.uy",20954
9502,"SUMMUM (Seguro Privado)","Summum Medicina Privada Sa","www.summum.com.uy",14016
9508,"MP (Seguro Privado)","Medicina Personalizada","www.mp.com.uy",26706
9516,"BLUE CROSS & BLUE SHIELD (Seguro Privado)","Blue Cross & Blue Shield","www.bcbsu.com.uy",13050
9518,"SEGURO AMERICANO (Seguro Privado)","Instituto Quirurgico Sudamericano","www.seguroamericano.com.uy",10116
9526,"MEDICARE (Seguro Privado)","Asociacion Civil Coopamhi","www.medicare.com.uy",1312
9532,"HOSPITAL BRITÁNICO (Seguro Privado)","Sociedad Hospital Britanico Del Uruguay","www.hospitalbritanico.com.uy",28427
90001,"ASSE Artigas","Administracion De Servicios De Salud Del Estado","www.asse.com.uy",50706
90002,"ASSE Canelones","Administracion De Servicios De Salud Del Estado","www.asse.com.uy",168435
90003,"ASSE Cerro Largo","Administracion De Servicios De Salud Del Estado","www.asse.com.uy",46197
90004,"ASSE Colonia","Administracion De Servicios De Salud Del Estado","www.asse.com.uy",47894
90005,"ASSE Durazno","Administracion De Servicios De Salud Del Estado","www.asse.com.uy",28065
90006,"ASSE Flores","Administracion De Servicios De Salud Del Estado","www.asse.com.uy",13208
90007,"ASSE Florida","Administracion De Servicios De Salud Del Estado","www.asse.com.uy",32974
90008,"ASSE Lavalleja","Administracion De Servicios De Salud Del Estado","www.asse.com.uy",26305
90009,"ASSE Maldonado","Administracion De Servicios De Salud Del Estado","www.asse.com.uy",54210
90010,"ASSE Montevideo","Administracion De Servicios De Salud Del Estado","www.asse.com.uy",328463
90011,"ASSE Paysandú","Administracion De Servicios De Salud Del Estado","www.asse.com.uy",62692
90012,"ASSE Río Negro","Administracion De Servicios De Salud Del Estado","www.asse.com.uy",36796
90013,"ASSE Rivera","Administracion De Servicios De Salud Del Estado","www.asse.com.uy",53220
90014,"ASSE Rocha","Administracion De Servicios De Salud Del Estado","www.asse.com.uy",35408
90015,"ASSE Salto","Administracion De Servicios De Salud Del Estado","www.asse.com.uy",72410
90016,"ASSE San José","Administracion De Servicios De Salud Del Estado","www.asse.com.uy",41361
90017,"ASSE Soriano","Administracion De Servicios De Salud Del Estado","www.asse.com.uy",40362
90018,"ASSE Tacuarembó","Administracion De Servicios De Salud Del Estado","www.asse.com.uy",57307
90019,"ASSE Treinta y Tres","Administracion De Servicios De Salud Del Estado","www.asse.com.uy",26429
