Id_Institución ;Nombre abreviado ;Nombre completo;web;FONASA;NO FONASA;TOTAL ;Comunicaciòn en soporte electrònico (pàgina web);existencia de servicio de salud para adolescente s/n
7264;CAMY;Cooperativa de Asistencia Médica de Young;www.camy.com.uy;7317;542;7859;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;si
7466;CASMER IAMPP;CENTRO ASISTENCIAL MEDICA DE RIVERA IAMPP;www.casmer.com.uy;32772;4372;37144;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;si
7553;COMERI;Cooperativa Médica de Rivera ;www.comeri.com.uy;20015;2001;22016;Existe el dominio, no tiene desarrollado sitio web;si
7618;COMERO IAMPP;COLECTIVO MEDICO ROCHENSE IAMPP;www.comero.com.uy;37140;5496;42636;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;si
7719;SMQS;Sociedad Médico Quirúrgica de Salto;www.smqs.com.uy;57341;7532;64873;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;si
7810;AMSJ IAMPP;ASOCIACION MEDICA DE SAN JOSE IAMPP;www.amsj.com.uy;45048;4741;49789;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;si
8012;CAMS IAMPP;CENTRO ASISTENCIAL MEDICO DE SORIANO IAMPP;www.camsor.com.uy;38974;8208;47182;Contiene nombre, teléfono, cartelera de servicios, formas de acceso a los servicios , nómina de profesionales, director técnico y precios de tasas moderadoras.  No contiene Derechos de los usuarios.;si
8163;COMTA IAMPP;CORPORACION MEDICA DE TACUAREMBO IAMPP;www.comta.com.uy;31636;3415;35051;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;si
8264;IAC;Instituto Asistencial Colectivo ;www.iac.com.uy;17228;2824;20052;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;si
9000;ASSE;Administración de Servicios de Salud del Estado;www.asse.com.uy;478443;995126;1473569;Contiene nombre, teléfono, horarios de atención, forma de acceso a los servicios, director técnico y Derechos de los usuarios. No contiene nómina de profesionales.;si
9502;SUMMUM (Seguro Privado);Summum Medicina Privada S.A..;www.summum.com.uy;10669;5088;15757;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico. No contiene Derechos de los usuarios.;no
9508;MP (Seguro Privado);Medicina Personalizada ;www.mp.com.uy;18813;9567;28380;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales. No contiene director técnico y Derechos de los usuarios.;si
9516;BLUE CROSS & BLUE SHIELD (Seguro Privado);Blue Cross & Blue Shield;www.bcbsu.com.uy;11840;7899;19739;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales. No contiene director técnico y Derechos de los usuarios.;no contesta
9518;SEGURO AMERICANO (Seguro Privado);Sanatorio Americano S.A..;www.seguroamericano.com.uy;7534;4855;12389;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales. No contiene director técnico y Derechos de los usuarios.;no
9526;MEDICARE (Seguro Privado);Copamhi Asociación Civil ;www.medicare.com.uy;708;1185;1893;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico. No contiene Derechos de los usuarios.;si
9532;HOSPITAL BRITÁNICO (Seguro Privado);La Sociedad Hospital Británico en el Uruguay;www.hospitalbritanico.com.uy;23695;11091;34786;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico. No contiene Derechos de los usuarios.;no
