1 id_mutualista;TICKET DE MEDICAMENTOS - GENERAL. FONASA;TICKET DE MEDICAMENTOS - GENERAL. NO FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. NO FONASA;CONSULTA URGENCIA CENTRALIZADA. FONASA;CONSULTA URGENCIA CENTRALIZADA. NO FONASA;CONSULTA NO URGENCIA DOMICILIO. FONASA;CONSULTA NO URGENCIA DOMICILIO. NO FONASA;CONSULTA URGENCIA DOMICILIO. FONASA;CONSULTA URGENCIA DOMICILIO. NO FONASA;CONSULTA ODONTOLOGICA. FONASA;CONSULTA ODONTOLOGICA. NO FONASA;CONSULTA MEDICO DE REFERENCIA. FONASA;CONSULTA MEDICO DE REFERENCIA. NO FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. NO FONASA;ECOGRAFÍA SIMPLE. FONASA;ECOGRAFÍA SIMPLE. NO FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. NO FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. NO FONASA;RX TORAX. FONASA;RX TORAX. NO FONASA;RX COLORECTAL. (C/ CONTRASTE) FONASA;RX COLORECTAL. (C/CONTRASTE) NO FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. NO FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. NO FONASA
6062;204;204;148;148;135;135;135;135;135;135;135;135;251;251;333;333;352;352;760;760;491;491;135;135;362;362;362;362;362;362;362;362;362;362;362;362;362;362;362;362
6416;216;216;122;122;116;116;36;36;0;0;116;116;174;174;183;183;183;183;220;220;341;341;0;0;316;322;287;287;482;489;281;287;281;281;281;281;551;551;551;551
6517;212;212;142;142;132;132;132;132;132;132;132;132;166;166;266;266;283;283;333;333;263;263;132;132;393;393;213;213;213;213;269;269;213;213;213;213;551;551;551;551
6618;211;211;149;149;127;127;127;127;127;127;127;127;160;160;330;330;313;313;574;574;445;445;127;127;386;386;386;386;386;386;246;246;273;273;273;273;990;990;814;814
6769;231;231;131;131;132;132;36;36;132;132;132;132;157;157;235;235;364;364;371;371;435;435;132;132;323;323;268;268;268;268;271;271;271;271;271;271;551;551;639;639
6860;257;257;148;148;133;133;133;133;133;133;133;133;357;357;563;563;575;575;712;712;760;760;133;133;341;341;492;492;492;492;341;341;266;266;338;338;990;990;551;551
6985;220;220;131;131;137;137;137;137;137;137;137;137;278;278;420;420;420;420;567;567;595;595;0;0;612;612;443;443;742;742;443;443;443;443;336;336;990;990;612;612
7062;248;248;148;148;128;128;36;36;0;0;139;139;236;236;283;283;387;387;575;575;263;263;128;128;714;714;413;413;489;489;343;343;343;343;343;343;990;990;880;880
7214;242;242;141;141;129;129;129;129;129;129;129;129;347;347;203;203;346;346;393;393;427;427;129;129;643;643;465;465;776;776;554;554;554;554;776;776;990;990;875;875
7264;193;193;32;32;135;135;71;71;71;71;71;71;216;216;264;264;372;372;737;737;416;416;0;0;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110
7466;263;263;139;139;0;135;0;0;0;135;0;135;0;258;0;399;464;464;723;723;464;464;135;135;609;609;309;309;709;709;203;203;203;203;203;203;609;609;609;609
7553;210;210;137;137;0;125;0;125;0;125;0;125;0;737;0;333;0;372;0;731;410;410;0;125;558;558;309;967;309;309;279;917;279;917;471;471;558;558;558;558
7618;231;231;148;148;132;132;36;36;59;59;137;137;233;233;382;382;460;460;646;646;590;590;132;132;531;531;319;319;648;649;334;334;334;334;334;334;990;990;750;750
7719;217;217;132;132;136;136;136;136;136;136;132;132;132;295;251;251;414;414;460;460;487;487;136;136;464;464;405;405;405;405;405;405;405;405;405;405;553;553;551;551
7810;137;223;137;137;137;137;0;0;134;134;134;134;197;197;324;324;137;137;137;137;582;582;137;137;296;296;265;265;265;265;265;265;110;110;265;265;645;645;645;645
8012;190;232;135;135;89;89;0;0;93;93;93;93;143;143;265;265;287;287;441;441;416;416;62;135;376;376;271;271;576;576;215;215;215;215;236;236;867;867;867;867
8163;222;222;128;128;131;131;131;131;131;131;131;131;246;246;350;350;464;464;757;757;488;488;131;131;406;406;406;406;406;406;356;356;181;181;406;406;551;551;551;551
8220;32;32;32;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;990;990;110;110;110;110;110;110;110;110;110;110;110;110;110;110
8264;268;268;148;148;134;134;134;134;134;134;134;134;295;295;419;419;460;460;880;880;607;607;133;134;423;423;253;253;423;423;253;253;253;253;423;423;870;870;870;870
