Institución ;Cargos de médicos generales en policlínica cada 10.000 usuarios mayores de 14 años;Cargos de médicos de familia en policlínica cada 10.000 usuarios;Cargos de  médicos pediatras en policlínica cada 10.000 usuarios menores de 15 años;Cargos de médicos ginecólogos en policlínica cada 10.000 usuarias mayores de 14 años;Cargos de auxiliares de enfermería en policlínica cada 10.000 usuarios;Cargos de licenciadas de enfermería en policlínica cada 10.000 usuarios;Cantidad de CAD cada 10.000 usuarios ;Cantidad de CAD de Medicina General;Cantidad de CAD de Medicina Familiar;Cantidad de CAD de Pediatría;Cantidad de CAD de Ginecotología;Cantidad de CAD de Medicina Interna;Cantidad de CAD de Medicina Intensiva de Adultos;Cantidad de CAD de Medicina Intensiva Pediátrica;Cantidad de CAD de Neonatología;Cantidad de CAD de Psiquiatría Adultos;Cantidad de CAD de Psiquiatría Pediátrica;Cantidad de CAD de Especialidades Médicas;Cantidad de CAD de Cirugía General;Cantidad de CAD de Medicina de Emergencia Adultos;Cantidad de CAD de Medicina de Emergencia Pediátrica;Cantidad de CAD de Medicina Rural;Cantidad de CAD de Imagenología;Cantidad de CAD de Anestesia;Proporción de trabajadores que realizaron el seminario de capacitación en el 2020
5810;23.7;0.0;19.2;6.8;5.0;0.0;5.8;7;0;5;0;1;0;0;0;3;0;9;0;0;0;no corresponde;0;no corresponde;84%
6012;23.9;0.0;32.4;9.1;9.6;0.7;5.9;9;0;7;0;4;3;0;0;0;0;4;0;0;0;no corresponde;0;no corresponde;90%
6062;24.6;0.0;38.5;7.2;8.9;1.2;6.2;4;0;3;0;0;1;0;0;1;0;4;0;0;0;no corresponde;0;no corresponde;91%
6416;14.2;0.0;29.5;8.8;10.1;0.3;5.2;0;0;0;1;2;1;0;0;0;0;11;0;0;0;no corresponde;2;no corresponde;90%
6517;10.5;0.0;30.3;6.6;6.5;0.3;1.5;1;0;1;0;0;0;0;0;0;0;0;0;0;0;no corresponde;0;no corresponde;84%
6618;29.0;0.0;38.9;11.5;19.3;1.1;6.0;5;0;5;0;2;3;0;0;0;0;2;0;0;1;no corresponde;0;no corresponde;86%
6769;13.4;0.4;17.9;4.6;19.1;1.7;5.8;4;0;0;2;3;3;0;0;1;0;2;0;1;0;no corresponde;1;no corresponde;87%
6860;18.4;0.0;43.3;9.8;10.4;0.7;5.7;11;0;4;1;4;5;2;2;2;0;11;3;0;0;no corresponde;1;no corresponde;85%
6985;7.1;0.0;25.4;11.6;7.3;0.8;5.8;4;0;10;0;2;2;0;0;1;1;7;0;0;0;no corresponde;0;no corresponde;78%
7062;14.0;1.6;31.4;11.1;12.2;1.6;5.9;5;2;9;5;4;0;0;0;1;0;12;0;0;0;no corresponde;0;no corresponde;93%
7214;17.9;0.0;36.3;18.5;5.7;1.1;5.1;1;0;1;0;1;0;0;0;0;0;2;0;0;0;no corresponde;0;no corresponde;82%
7264;13.8;2.7;20.7;22.0;21.7;2.8;5.1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;no corresponde;0;no corresponde;85%
7466;16.1;0.0;31.2;13.4;16.5;1.3;5.9;9;0;3;3;0;0;0;0;1;0;4;0;0;0;no corresponde;1;no corresponde;92%
7553;12.8;0.0;16.5;10.4;9.7;3.1;1.3;1;0;1;0;1;0;0;0;0;0;0;0;0;0;no corresponde;0;no corresponde;90%
7618;9.4;0.0;15.6;4.1;22.5;3.1;6.1;6;0;3;0;2;4;0;0;1;0;7;2;1;0;no corresponde;0;no corresponde;87%
7719;11.8;0.0;34.1;9.7;10.5;7.4;4.7;5;0;5;3;2;1;0;0;3;0;11;0;0;0;no corresponde;0;no corresponde;85%
7810;15.5;0.0;14.0;10.7;5.2;0.8;5.8;1;0;1;0;3;5;0;5;1;0;11;0;2;0;no corresponde;0;no corresponde;91%
8012;16.7;0.1;25.0;6.0;5.2;0.6;5.9;10;0;3;0;4;1;0;0;2;0;4;0;1;0;no corresponde;0;no corresponde;91%
8163;10.9;0.0;26.9;1.8;15.9;2.7;5.9;4;0;4;1;1;1;0;0;0;0;6;2;0;0;no corresponde;2;no corresponde;86%
8220;0.0;0.0;0.0;0.0;7.7;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no corresponde;0;no corresponde;s/d
8264;10.1;0.0;18.4;5.0;8.2;0.8;5.6;0;0;1;1;3;1;0;0;1;0;2;2;0;0;no corresponde;0;no corresponde;87%
9526;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no corresponde;0;no corresponde;78%
9508;6.6;0.0;0.0;0.0;6.0;0.5;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no corresponde;0;no corresponde;89%
9502;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no corresponde;0;no corresponde;6%
9518;2.6;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no corresponde;0;no corresponde;86%
9516;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no corresponde;0;no corresponde;97%
9532;0.0;0.0;0.0;0.0;8.3;0.7;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no corresponde;0;no corresponde;88%
9000;33.1;10.3;42.7;12.9;11.4;1.9;2.5;13;30;56;12;36;32;8;24;5;0;112;3;16;7;0;4;10;Falta dato
