1 id_mutualista;TICKET DE MEDICAMENTOS - GENERAL. FONASA;TICKET DE MEDICAMENTOS - GENERAL. NO FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. NO FONASA;CONSULTA URGENCIA CENTRALIZADA. FONASA;CONSULTA URGENCIA CENTRALIZADA. NO FONASA;CONSULTA NO URGENCIA DOMICILIO. FONASA;CONSULTA NO URGENCIA DOMICILIO. NO FONASA;CONSULTA URGENCIA DOMICILIO. FONASA;CONSULTA URGENCIA DOMICILIO. NO FONASA;CONSULTA ODONTOLOGICA. FONASA;CONSULTA ODONTOLOGICA. NO FONASA;CONSULTA MEDICO DE REFERENCIA. FONASA;CONSULTA MEDICO DE REFERENCIA. NO FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. NO FONASA;ECOGRAFÍA SIMPLE. FONASA;ECOGRAFÍA SIMPLE. NO FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. NO FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. NO FONASA;RX TORAX. FONASA;RX TORAX. NO FONASA;RX COLORECTAL. (C/ CONTRASTE) FONASA;RX COLORECTAL. (C/CONTRASTE) NO FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. NO FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. NO FONASA
6062;241;241;175;175;160;160;160;160;160;160;160;160;297;297;395;395;418;418;864;864;583;583;160;160;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430
6416;256;256;144;144;138;138;43;138;0;0;138;138;207;207;217;217;217;217;261;261;405;405;0;0;375;382;340;340;572;580;332;340;332;332;332;332;654;654;654;654
6517;250;250;167;167;157;157;157;157;157;157;157;157;197;197;316;316;336;336;395;395;313;313;157;157;466;466;252;252;252;252;318;318;252;252;252;252;653;653;653;653
6618;250;250;175;175;150;150;150;150;150;150;150;150;190;190;391;391;371;371;676;676;528;528;150;150;458;458;458;458;458;458;291;291;323;323;323;323;1010;1010;931;931
6769;273;273;155;155;157;157;43;43;157;157;157;157;186;186;279;279;432;432;440;440;516;516;157;157;382;382;317;317;317;317;321;321;321;321;321;321;653;653;758;758
6860;304;304;174;174;158;158;158;158;158;158;158;158;423;423;669;669;678;678;810;810;865;865;158;158;404;404;584;584;584;584;404;404;315;315;401;401;1010;1010;653;653
6985;261;261;154;154;162;162;162;162;162;162;162;162;330;330;498;498;498;498;673;673;698;698;0;0;726;726;525;525;860;860;525;525;525;525;398;398;1010;1010;726;726
7062;293;293;174;174;152;152;43;43;0;0;165;165;280;280;336;336;460;460;678;678;312;312;152;152;839;839;490;490;579;579;407;407;407;407;407;407;1010;1010;1006;1006
7214;286;286;167;167;153;153;153;153;153;153;153;153;412;412;241;241;410;410;466;466;507;507;153;153;762;762;552;552;888;888;657;657;657;657;888;888;1010;1010;1001;1001
7264;228;228;37;37;160;160;85;85;85;85;85;85;257;257;313;313;441;441;838;838;494;494;0;0;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130
7466;311;311;164;164;0;160;0;0;0;160;0;160;0;306;0;473;550;550;823;823;550;550;160;160;723;723;366;366;833;833;240;240;240;240;240;240;723;723;723;723
7553;248;248;161;161;0;148;0;148;0;148;0;148;0;839;0;396;0;441;0;832;486;486;0;148;662;662;366;1010;366;366;330;1010;330;1010;558;558;662;662;662;662
7618;273;273;175;175;157;157;43;43;70;70;163;163;277;277;453;453;546;546;739;739;692;692;157;157;730;730;378;378;768;770;396;396;396;396;396;396;1010;1010;868;868
7719;257;257;155;155;161;161;161;161;161;161;157;157;157;350;298;298;491;491;545;545;578;578;161;161;550;550;480;480;480;480;480;480;480;480;480;480;655;655;653;653
7810;162;264;162;162;163;163;0;0;160;160;160;160;234;234;384;384;163;163;163;163;685;685;163;163;350;350;314;314;314;314;314;314;130;130;314;314;764;764;764;764
8012;225;274;159;159;105;105;0;0;110;110;110;110;170;170;314;314;340;340;523;523;493;493;74;160;446;446;321;321;683;683;255;255;255;255;280;280;991;991;991;991
8163;263;263;150;150;155;155;155;155;155;155;155;155;292;292;416;416;551;551;861;861;579;579;155;155;481;481;481;481;481;481;422;422;215;215;481;481;653;653;653;653
8264;317;317;175;175;159;159;159;159;159;159;159;159;350;350;497;497;546;546;880;880;712;712;157;159;501;501;300;300;501;501;300;300;300;300;501;501;995;995;995;995
