Id_Institución;Nombre abreviado;Nombre completo;web;FONASA;NO FONASA;TOTAL;Comunicaciòn en soporte electrònico (pàgina web);existencia de servicio de salud para adolescente s/n
6012;CAMEC;Cooperativa Asistencial Médica del Este de Colonia;www.camec.com.uy;41645;4146;45791;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;si
6062;CAMOC IAMPP;CENTRO DE ASISTENCIA MEDICA DEL OESTE DE COLONIA IAMPP;www.camoc.com.uy;19287;1573;20860;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;si
6416;CAMEDUR IAMPP;CENTRO DE ASISTENCIA MEDICA DE DURAZNO IAMPP;www.camedur.com.uy;29313;3006;32319;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;no contesta
6517;COMEFLO IAMPP;COMEFLO IAMPP;www.comeflo.com.uy;11401;1720;13121;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;no
6618;COMEF IAMPP;COMEF IAMPP - COOPERATIVA MEDICA DE FLORIDA IAMPP ;www.comef.com.uy;28107;2623;30730;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;no contesta
6769;CAMDEL IAMPP;CENTRO DE ASISTENCIA MEDICA DE LAVALLEJA IAMPP;www.camdel.com.uy;26748;4356;31104;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;si
6860;AMDM IAMPP;ASISTENCIAL MEDICA DEPARTAMENTAL DE MALDONADO IAMPP;www.asistencial.com.uy;70464;8515;78979;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;si
6985;CRAME IAMPP;CRAME IAMPP;www.semm-mautone.com.uy;38774;3506;42280;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;si
7062;COMEPA;Corporación Médica de Paysandú;www.comepa.com.uy;57301;3586;60887;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;si
7214;AMEDRIN;Asistencia Médica de Río Negro Cooperativa Médica;www.amedrin.com.uy;8673;942;9615;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;si
7264;CAMY;Cooperativa de Asistencia Médica de Young;www.camy.com.uy;7380;405;7785;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;si
7466;CASMER IAMPP;CENTRO ASISTENCIAL MEDICA DE RIVERA IAMPP;www.casmer.com.uy;31962;3155;35117;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;si
7553;COMERI;Cooperativa Médica de Rivera ;www.comeri.com.uy;20868;2168;23036;Existe el dominio, no tiene desarrollado sitio web;si
7618;COMERO IAMPP;COLECTIVO MEDICO ROCHENSE IAMPP;www.comero.com.uy;36569;5076;41645;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;si
7719;SMQS;Sociedad Médico Quirúrgica de Salto;www.smqs.com.uy;56618;6809;63427;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;si
7810;AMSJ IAMPP;ASOCIACION MEDICA DE SAN JOSE IAMPP;www.amsj.com.uy;44767;4173;48940;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;si
8012;CAMS IAMPP;CENTRO ASISTENCIAL MEDICO DE SORIANO IAMPP;www.camsor.com.uy;40759;2981;43740;Contiene nombre, teléfono, cartelera de servicios, formas de acceso a los servicios , nómina de profesionales, director técnico y precios de tasas moderadoras.  No contiene Derechos de los usuarios.;si
8163;COMTA IAMPP;CORPORACION MEDICA DE TACUAREMBO IAMPP;www.comta.com.uy;31915;3249;35164;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;si
8220;COMETT;Cooperativa Asistencial Médica de Treinta y Tres;www.comett.com.uy;1767;59;1826;No existe sitio web;no
8264;IAC;Instituto Asistencial Colectivo ;www.iac.com.uy;17111;1999;19110;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico, Precios de tasas moderadoras y Derechos de los usuarios.;si
9000;ASSE;Administración de Servicios de Salud del Estado;www.asse.com.uy;499750;832546;1332296;Contiene nombre, teléfono, horarios de atención, forma de acceso a los servicios, director técnico y Derechos de los usuarios. No contiene nómina de profesionales.;si
9502;SUMMUM (Seguro Privado);Summum Medicina Privada S.A..;www.summum.com.uy;10060;5024;15084;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico. No contiene Derechos de los usuarios.;no
9508;MP (Seguro Privado);Medicina Personalizada ;www.mp.com.uy;18539;9618;28157;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales. No contiene director técnico y Derechos de los usuarios.;si
9516;BLUE CROSS & BLUE SHIELD (Seguro Privado);Blue Cross & Blue Shield;www.bcbsu.com.uy;9303;6775;16078;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales. No contiene director técnico y Derechos de los usuarios.;no contesta
9518;SEGURO AMERICANO (Seguro Privado);Sanatorio Americano S.A..;www.seguroamericano.com.uy;7295;4211;11506;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales. No contiene director técnico y Derechos de los usuarios.;no
9526;MEDICARE (Seguro Privado);Copamhi Asociación Civil ;www.medicare.com.uy;803;430;1233;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico. No contiene Derechos de los usuarios.;si
9532;HOSPITAL BRITÁNICO (Seguro Privado);La Sociedad Hospital Británico en el Uruguay;www.hospitalbritanico.com.uy;23471;11153;34624;Contiene nombre, teléfono, horarios de atención, cartelera de servicios, formas de acceso a los servicios, nómina de profesionales, director técnico. No contiene Derechos de los usuarios.;no
