1 id_mutualista;TICKET DE MEDICAMENTOS - GENERAL. FONASA;TICKET DE MEDICAMENTOS - GENERAL. NO FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. NO FONASA;CONSULTA URGENCIA CENTRALIZADA. FONASA;CONSULTA URGENCIA CENTRALIZADA. NO FONASA;CONSULTA NO URGENCIA DOMICILIO. FONASA;CONSULTA NO URGENCIA DOMICILIO. NO FONASA;CONSULTA URGENCIA DOMICILIO. FONASA;CONSULTA URGENCIA DOMICILIO. NO FONASA;CONSULTA ODONTOLOGICA. FONASA;CONSULTA ODONTOLOGICA. NO FONASA;CONSULTA MEDICO DE REFERENCIA. FONASA;CONSULTA MEDICO DE REFERENCIA. NO FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. NO FONASA;ECOGRAFÍA SIMPLE. FONASA;ECOGRAFÍA SIMPLE. NO FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. NO FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. NO FONASA;RX TORAX. FONASA;RX TORAX. NO FONASA;RX COLORECTAL. (C/ CONTRASTE) FONASA;RX COLORECTAL. (C/CONTRASTE) NO FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. NO FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. NO FONASA;LABORATORIO, RUTINA BÁSICA. FONASA;LABORATORIO, RUTINA BÁSICA. NO FONASA
6062;189;189;137;137;126;126;126;126;126;126;126;126;234;234;311;311;329;329;735;735;460;460;126;126;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;335;746;746
6416;200;200;113;113;109;109;34;34;0;0;109;109;163;163;163;163;171;171;205;205;319;319;0;0;292;297;265;265;447;453;259;265;259;259;259;259;512;512;512;512;932;932
6517;196;196;130;130;124;124;124;124;124;124;124;124;156;156;249;249;265;265;311;311;246;246;124;124;364;364;195;195;195;195;247;247;195;195;195;195;512;512;512;512;731;731
6618;196;196;137;137;119;119;119;119;119;119;119;119;149;149;309;309;293;293;536;536;416;416;119;119;357;357;357;357;357;357;226;226;252;252;252;252;979;979;768;768;661;661
6769;214;214;121;121;124;124;34;34;124;124;124;124;147;147;220;220;341;341;347;347;407;407;124;124;298;298;247;247;247;247;250;250;250;250;250;250;512;512;594;594;749;749
6860;238;238;136;136;125;125;125;125;125;125;125;125;334;334;527;527;538;538;676;676;736;736;125;125;315;315;457;457;457;457;315;315;245;245;312;312;979;979;512;512;506;506
6985;204;204;120;120;128;128;128;128;128;128;128;128;260;260;393;393;393;393;531;531;557;557;0;0;568;568;410;410;690;690;410;410;410;410;310;310;979;979;568;568;622;622
7062;230;230;136;136;120;120;34;34;0;0;130;130;221;221;265;265;362;362;538;538;246;246;120;120;664;664;383;383;453;453;317;317;317;317;317;317;979;979;844;844;740;740
7214;224;224;130;130;120;120;120;120;120;120;120;120;202;202;190;190;323;323;368;368;400;400;120;120;598;598;431;431;722;722;514;514;514;514;722;722;979;979;840;840;628;628
7264;179;179;28;28;126;126;67;67;67;67;67;67;202;202;247;247;348;348;713;713;389;389;0;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;681;681
7466;244;244;128;128;0;126;0;0;0;126;0;126;0;241;0;373;434;434;700;700;434;434;126;126;566;566;285;285;660;660;186;186;186;186;186;186;566;566;566;566;1.032;1.032
7553;194;194;126;126;0;117;0;117;0;117;0;117;0;713;0;312;0;348;0;707;383;383;0;117;518;518;285;928;285;285;257;880;257;880;436;436;518;518;518;518;931;931
7618;214;214;137;137;124;124;34;34;56;56;128;128;218;218;357;357;431;431;604;604;551;551;124;124;493;493;295;295;602;603;308;308;308;308;308;308;979;979;697;697;304;304
7719;201;201;121;121;127;127;127;127;127;127;124;124;124;276;235;235;387;387;430;430;456;456;127;127;430;430;375;375;375;375;375;375;375;375;375;375;513;513;512;512;740;740
7810;127;207;127;127;129;129;0;0;126;126;126;126;184;184;303;303;408;408;691;691;544;544;129;129;273;273;244;244;244;244;244;244;99;99;244;244;599;599;599;599;619;1.193
8012;176;215;124;124;83;83;0;0;87;87;87;87;134;134;248;248;268;268;413;413;389;389;58;126;348;348;249;249;535;535;198;198;198;198;217;217;831;831;831;831;1.05;1.05
8163;206;206;117;117;122;122;122;122;122;122;122;122;230;230;328;328;434;434;733;733;456;456;122;122;375;375;375;375;375;375;329;329;166;166;375;375;512;512;512;512;973;973
8220;28;28;28;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;979;979;99;99;99;99;99;99;99;99;99;99;99;99;99;99;705;705
8264;248;248;137;137;126;126;126;126;126;126;126;126;276;276;392;392;431;431;854;854;568;568;124;126;392;392;233;233;392;392;233;233;233;233;392;392;835;835;835;835;611;611
