Institución ;Cargos de médicos generales en policlínica cada 10.000 usuarios mayores de 14 años;Cargos de médicos de familia en policlínica cada 10.000 usuarios;Cargos de  médicos pediatras en policlínica cada 10.000 usuarios menores de 15 años;Cargos de médicos ginecólogos en policlínica cada 10.000 usuarias mayores de 14 años;Cargos de auxiliares de enfermería en policlínica cada 10.000 usuarios;Cargos de licenciadas de enfermería en policlínica cada 10.000 usuarios;Cantidad de CAD cada 10.000 usuarios ;Cantidad de CAD de Medicina General;Cantidad de CAD de Medicina Familiar;Cantidad de CAD de Pediatría;Cantidad de CAD de Ginecotología;Cantidad de CAD de Medicina Interna;Cantidad de CAD de Medicina Intensiva de Adultos;Cantidad de CAD de Medicina Intensiva Pediátrica;Cantidad de CAD de Neonatología;Cantidad de CAD de Psiquiatría Adultos;Cantidad de CAD de Psiquiatría Pediátrica;Cantidad de CAD de Especialidades Médicas;Cantidad de CAD de Cirugía General;Cantidad de CAD de Medicina de Emergencia Adultos;Cantidad de CAD de Medicina de Emergencia Pediátrica;Cantidad de CAD de Medicina Rural;Cantidad de CAD de Imagenología;Cantidad de CAD de Anestesia;Proporción de trabajadores que realizaron el seminario de capacitación en el 2019
6062;25.2;0;37.1;8.4;9;1.2;5.3;4;0;3;0;0;1;0;0;0;0;3;0;0;0;no corresponde;0;no corresponde;92%
6416;15.3;0;28.4;8.9;11.9;0.3;4.7;0;0;0;0;2;1;0;0;0;0;10;0;0;0;no corresponde;2;no corresponde;89%
6517;10.9;0;35;6.7;7.3;0.7;1.5;1;0;1;0;0;0;0;0;0;0;0;0;0;0;no corresponde;0;no corresponde;90%
6618;29.9;0;35.6;12.3;20.8;1.3;5.3;3;0;5;0;2;4;0;0;0;0;1;0;0;1;no corresponde;0;no corresponde;88%
6769;17.3;0.2;15.9;4.6;19.1;1.7;5.4;4;0;0;2;3;3;0;0;1;0;2;0;1;0;no corresponde;0;no corresponde;88%
6860;22.8;0;40.7;11.9;13.9;0.8;5.2;12;0;3;0;5;5;2;2;1;0;11;0;0;0;no corresponde;1;no corresponde;85%
6985;8.9;0;26;12.1;6.7;0.7;5.5;4;0;10;0;2;2;0;0;1;1;4;0;0;0;no corresponde;0;no corresponde;80%
7062;15.5;1.7;31.4;11.1;13.3;1.3;5.4;6;2;9;3;4;0;0;0;1;0;9;0;0;0;no corresponde;0;no corresponde;92%
7214;12.3;0;31.2;17.8;4.6;1.1;5.1;1;0;1;0;1;0;0;0;0;0;2;0;0;0;no corresponde;0;no corresponde;90%
7264;13.1;2.7;31.3;19.1;18.5;2.4;5.1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;no corresponde;0;no corresponde;84%
7466;13.2;0;24.1;13.6;16;1.6;5.7;9;0;2;3;0;0;0;0;1;0;4;0;0;0;no corresponde;1;no corresponde;90%
7553;13.4;0;20.8;10.6;11.1;2.9;1.3;1;0;1;0;1;0;0;0;0;0;0;0;0;0;no corresponde;0;no corresponde;90%
7618;10.3;0;15.3;4.3;23.9;2.8;5.7;6;0;3;0;2;4;0;0;1;0;7;0;1;0;no corresponde;0;no corresponde;88%
7719;11.4;0;31.9;10.6;11.3;8.4;4.1;3;0;5;3;2;0;0;0;3;0;10;0;0;0;no corresponde;0;no corresponde;84%
7810;18.1;0;13.2;11.4;6.3;0.8;5.3;1;0;1;0;2;5;0;5;1;0;9;0;2;0;no corresponde;0;no corresponde;92%
8012;15.2;0;23;6.9;5;0.6;5.6;9;0;3;0;5;1;0;0;2;0;4;0;0;0;no corresponde;0;no corresponde;91%
8163;13.5;0;26.3;5.7;14.5;2.8;5.4;4;0;4;1;0;1;0;0;1;0;5;3;0;0;no corresponde;0;no corresponde;88%
8220;0;0;0;0;9.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no corresponde;0;no corresponde;88%
8264;13.1;0;19.5;6.6;8.2;1;5.2;0;0;1;1;3;1;0;0;1;0;1;2;0;0;no corresponde;0;no corresponde;87%
9526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no corresponde;0;no corresponde;94%
9508;6.9;0;0;0;6.6;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no corresponde;0;no corresponde;88%
9502;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no corresponde;0;no corresponde;7%
9518;7.4;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no corresponde;0;no corresponde;87%
9516;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no corresponde;0;no corresponde;99%
9532;0;0;0;0;8.4;0.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no corresponde;0;no corresponde;86%
9548;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no corresponde;0;no corresponde;
9000;25.3;10.5;36.6;12;10.5;1.8;2.6;12;30;55;12;38;30;8;24;6;0;112;0;17;7;0;1;7;90%
