1 id_mutualista;TICKET DE MEDICAMENTOS - GENERAL. FONASA;TICKET DE MEDICAMENTOS - GENERAL. NO FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. NO FONASA;CONSULTA URGENCIA CENTRALIZADA. FONASA;CONSULTA URGENCIA CENTRALIZADA. NO FONASA;CONSULTA NO URGENCIA DOMICILIO. FONASA;CONSULTA NO URGENCIA DOMICILIO. NO FONASA;CONSULTA URGENCIA DOMICILIO. FONASA;CONSULTA URGENCIA DOMICILIO. NO FONASA;CONSULTA ODONTOLOGICA. FONASA;CONSULTA ODONTOLOGICA. NO FONASA;CONSULTA MEDICO DE REFERENCIA. FONASA;CONSULTA MEDICO DE REFERENCIA. NO FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. NO FONASA;ECOGRAFÍA SIMPLE. FONASA;ECOGRAFÍA SIMPLE. NO FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. NO FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. NO FONASA;RX TORAX. FONASA;RX TORAX. NO FONASA;RX COLORECTAL. (C/ CONTRASTE) FONASA;RX COLORECTAL. (C/CONTRASTE) NO FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. NO FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. NO FONASA
6062;191;191;138;138;126;126;126;126;126;126;126;126;236;236;313;313;331;331;725;725;462;462;126;126;337;337;337;337;337;337;337;337;337;337;337;337;337;337;337;337
6416;202;202;114;114;109;109;34;34;0;0;109;109;164;164;172;172;172;172;206;206;321;321;0;0;294;299;267;267;450;456;260;267;260;260;260;260;515;515;515;515
6517;198;198;132;132;124;124;124;124;124;124;124;124;156;156;250;250;266;266;313;313;248;248;124;124;366;366;197;197;197;197;249;249;197;197;197;197;515;515;515;515
6618;197;197;139;139;119;119;119;119;119;119;119;119;150;150;310;310;294;294;539;539;418;418;119;119;360;360;360;360;360;360;228;228;253;253;253;253;980;980;772;772
6769;216;216;122;122;124;124;34;34;124;124;124;124;147;147;221;221;342;342;348;348;409;409;124;124;300;300;248;248;248;248;251;251;251;251;251;251;515;515;597;597
6860;240;240;138;138;125;125;125;125;125;125;125;125;335;335;529;529;541;541;679;679;725;725;125;125;317;317;459;459;459;459;317;317;246;246;314;314;980;980;515;515
6985;206;206;122;122;128;128;128;128;128;128;128;128;262;262;395;395;395;395;533;533;559;559;0;0;572;572;413;413;694;694;413;413;413;413;312;312;980;980;572;572
7062;232;232;138;138;120;120;34;34;0;0;130;130;222;222;266;266;364;364;540;540;247;247;120;120;668;668;385;385;456;456;319;319;319;319;319;319;980;980;835;835
7214;226;226;132;132;121;121;121;121;121;121;121;121;326;326;191;191;325;325;369;369;401;401;121;121;601;601;434;434;726;726;517;517;517;517;726;726;980;980;830;830
7264;180;180;29;29;127;127;67;67;67;67;67;67;203;203;248;248;349;349;703;703;391;391;0;0;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
7466;246;246;130;130;0;127;0;0;0;127;0;127;0;242;0;375;375;375;690;690;436;436;127;127;569;569;287;287;663;663;187;187;187;187;187;187;569;569;569;569
7553;196;196;127;127;0;117;0;117;0;117;0;117;0;703;0;313;0;349;0;698;385;385;0;117;521;521;287;918;287;287;258;870;258;870;439;439;521;521;521;521
7618;216;216;138;138;124;124;34;34;56;56;129;129;219;219;359;359;433;433;607;607;554;554;124;124;496;496;297;297;606;606;310;310;310;310;310;310;980;980;701;701
7719;203;203;123;123;127;127;127;127;127;127;124;124;124;277;236;236;389;389;432;432;458;458;127;127;433;433;377;377;377;377;377;377;377;377;377;377;516;516;515;515
7810;128;209;128;128;129;129;0;0;126;126;126;126;185;185;304;304;410;410;682;682;547;547;129;129;275;275;245;245;245;245;245;245;100;100;245;245;602;602;602;602
8012;178;217;125;125;83;83;0;0;87;87;87;87;135;135;249;249;269;269;415;415;391;391;58;127;350;350;251;251;538;538;199;199;199;199;219;219;822;822;822;822
8163;208;208;119;119;123;123;123;123;123;123;123;123;231;231;329;329;436;436;722;722;458;458;123;123;378;378;378;378;378;378;331;331;167;167;378;378;515;515;515;515
8220;29;29;29;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;980;980;100;100;100;100;100;100;100;100;100;100;100;100;100;100
8264;250;250;138;138;126;126;126;126;126;126;126;126;277;277;393;393;433;433;842;842;570;570;125;126;394;394;234;234;394;394;234;234;234;234;394;394;825;825;825;825
