id,Direccion,Departamento,localidad,nivel,Servicio de Urgencia,Alergista,Anestesiología,Cardiología,Cirugía,Cirugía Reparadora,Cirugía Vascular,Deportología,Dermatología,Endocrinolgía,Fisiatría,Gastroenterología,Geriatría,Ginecología,Hematología,Infectología,Medicina General,Medicina Interna,Medicina Intensiva,Nefrología,Neonatología,Neumología,Neurocirugía,Neurología,Neuropediatría,Odontología,Oncología,Otorrinolaringología,Pediatría,Psiquiatría,Psiquiatría Infantil,Reumatología,Traumatología,Urología
62,Bulevar Artigas 1531,Montevideo,Montevideo,Ambulatorio,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,si,si
62,Bulevar Artigas 1550,Montevideo,Montevideo,Ambulatorio,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,no,si,si,no,no,no,si,no,no,no,no,no,no,no,si,no,no,no,no
62,Montevideo - Clinica Las Torres - Luis Alberto De Herrera 1223,Montevideo,Montevideo,Ambulatorio,no,no,no,si,si,si,no,no,si,si,no,si,no,si,no,no,si,si,no,si,no,si,no,no,no,si,no,si,si,no,no,no,no,si
62,Jose Enrique Rodo 1986,Montevideo,Montevideo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Mario Cassinoni 1414,Montevideo,Montevideo,Ambulatorio,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
62,Mario Cassinoni 1420,Montevideo,Montevideo,Ambulatorio,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no,no,no,no,no,si,no,no,no,no,no,no,no,no,si,no
62,Mario Cassinoni 1430,Montevideo,Montevideo,Ambulatorio,no,no,no,si,no,no,no,no,no,no,si,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,si,no,no
62,Mario Cassinoni 1441,Montevideo,Montevideo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Mario Cassinoni 1443,Montevideo,Montevideo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Mario Cassinoni 1444,Montevideo,Montevideo,Ambulatorio,no,si,si,no,no,no,no,no,no,si,no,no,si,no,si,si,si,si,no,si,no,no,no,si,no,no,no,no,no,no,no,si,no,no
62,Palmar 2274,Montevideo,Montevideo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Palmar 2276,Montevideo,Montevideo,Ambulatorio,no,no,si,no,si,si,si,no,si,no,no,si,no,no,no,no,no,si,no,no,no,no,no,no,no,no,no,si,no,no,no,si, no,no
62,Montevideo - Policlinica Aguada - Yi 1771,Montevideo,Montevideo,Ambulatorio,NO,NO,NO,SI,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,NO,NO,NO,NO
62,Montevideo - Policlinica Cerro - Grecia 3865,Montevideo,Montevideo,Ambulatorio,NO,NO,NO,SI,NO,NO,NO,NO,SI,SI,NO,NO,NO,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,NO,NO
62,Montevideo - Policlinica Maroñas - General Flores 4944,Montevideo,Montevideo,Ambulatorio,no,no,no,si,no,no,no,no,NO,no,no,no,no,si,no,no,si,no,no,no,no,no,no,no,no,si,no,no,si,no,no,no,no,no
62,Montevideo - Policlinica Paso De La Arena - Luis Batlle Berres 6665,Montevideo,Montevideo,Ambulatorio,no,no,no,no,si,no,no,no,no,no,no,no,no,si,no,no,si,no,no,no,no,no,no,no,no,si,no,no,si,no,no,no,no,no
62,Montevideo - Policlinica Pedro Visca - Pedro Visca 4223,Montevideo,Montevideo,Ambulatorio,No,No,No,Si,No,No,No,No,Si,No,No,Si,No,Si,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,No,No
62,Montevideo - Policlinica Union - Enrique Clay 2646,Montevideo,Montevideo,Ambulatorio,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,si,NO,NO,SI,SI,NO,NO,NO,NO
62,Montevideo - Sanatorio Central - Bulevar Artigas 1515,Montevideo,Montevideo,Sede Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Brington 1111,Maldonado,Punta del Este,Sede Secundaria,si,no,no,si,si,no,no,no,si,no,no,no,no,si,no,no,si,no,no,no,no,no,no,no,no,no,no,no,si,si,no,no,no,no
62,Policlinica Atlantida - Avenida Artigas - S/N,Canelones,Atlántida,Sede Secundaria,si,no,no,Si,si,no,no,no,si,si,si,no,si,si,no,no,si,no,no,no,no,no,no,no,no,si,no,si,si,si,no,si,no,si
62,Manuel Freire 956,Maldonado,Piriápolis,Sede Secundaria,si,no,no,si,si,no,no,no,no,no,no,no,no,si,no,no,si,no,no,no,no,no,no,no,no,no,no,no,,si,no,no,no,no
62,Jose Batlle Y Ordoñez 669,Canelones,Canelones,Sede Secundaria,si,no,no,si,si,no,no,no,si,si,si,si,si,,,no,si,,no,no,no,si,no,no,no,si,no,si,si,si,no,si,si,si
62,Sede Secundaria Las Piedras - Lavalleja 655,Canelones,Las Piedras,Sede Secundaria,Si,No,No,Si,Si,No,No,No,Si,Si,No,Si,No,Si,No,No,Si,No,-0,-0,-0,Si,-0,Si,No,Si,No,Si,Si,Si,No,Si,Si,Si
62,Iturria 1111,Canelones,Pando,Sede Secundaria,Si,NO,NO,SI,Si,SI,NO,NO,Si,Si,si,Si,NO,SI,si,NO,Si,NO,NO,si,NO,NO,NO,si,NO,SI,si,Si,si,SI,NO,Si,Si,Si
62,Avenida Giannatassio Km. 37.500,Canelones,Salinas,Sede Secundaria,si,no,no,si,Si,no,no,no,si,si,si,si,no,si,no,no,si,NO,no,no,no,si,no,si,no,SI,si,si,si,si,no,si,si,si
62,Avenida Giannatassio Km 22.500,Canelones,Solymar,Sede Secundaria,si,si,no,si,si,no,no,no,si,si,si,si,no,si,no,no,si,no,no,si,no,si,no,si,no,SI,si,si,si,si,si,si,si,si
62,Policlinica Nuevo Centro Shopping,Montevideo,Montevideo,Ambulatorio,NO,NO,NO,SI,NO,NO,NO,NO,SI,NO,NO,SI,SI,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,SI,SI,SI,NO,NO,NO
264,Av.La Estación 60 Mts,Canelones,Toledo,Sede Secundaria,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Ruta Interbalnearia Km 38400,Canelones,Salinas,Sede Secundaria,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Avenida Alvear Manzana 16 Solar 6,Canelones,San José de Carrasco,Sede Secundaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Sede Secundaria Colonia - Daniel Fosalba 366 - Sanatorio,Colonia,Colonia,Sede Secundaria,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Jose Laguna 879,Colonia,Nueva Palmira,Sede Secundaria,SI,,,,SI,,,,,,,,,SI,,,SI,SI,,,,,,,,SI,,,SI,,,,,
264,Lavalleja 1999,Colonia,Tarariras,Sede Secundaria,Si,No,No,SI,SI,No,No,No,SI,SI,No,No,No,SI,No,No,SI,No,No,No,No,No,No,No,No,SI,No,SI,SI,SI,No,SI,SI,No
264,Artigas 1055,Colonia,Nueva Helvecia,Sede Secundaria,Si,,No,SI,SI,No,No,No,SI,SI,No,No,No,SI,No,No,SI,No,No,No,No,No,No,No,No,SI,No,SI,SI,SI,No,SI,SI,No
264,Uruguay 202,Colonia,Carmelo,Sede Secundaria,Si,No,No,No,No,No,No,No,SI,SI,No,No,SI,SI,No,No,SI,SI,No,No,No,No,No,No,No,SI,No,No,SI,No,No,No,No,No
264,Pablo Davyd S/N,Colonia,Ombués de Lavalle,Sede Secundaria,Si,No,No,si,si,No,No,No,SI,No,No,No,No,SI,No,No,SI,No,No,No,No,No,No,No,No,SI,No,No,SI,SI,No,No,No,No
264,Jose Artigas S/N,Colonia,Colonia Miguelete,Sede Secundaria,Si,No,No,si,No,No,No,No,No,No,No,No,No,SI,No,No,SI,No,No,No,No,No,No,No,No,SI,No,No,SI,No,No,No,No,No
264,17 De Febrero 1080,Colonia,Colonia Valdense,Sede Secundaria,Si,No,No,No,No,No,No,No,No,No,No,No,si,si,No,No,SI,No,,No,No,No,No,No,No,SI,No,No,si,si,No,No,No,No
264,Br. Brum 703,Colonia,Colonia,Ambulatorio,No,No,SI,SI,,,,,SI,SI,,SI,SI,SI,SI,No,SI,SI,No,No,No,SI,No,SI,SI,SI,SI,SI,SI,SI,SI,SI,,
264,Montevideo - Policlinica Roxlo - Carlos Roxlo 1332,Montevideo,Montevideo,Ambulatorio,No,No,No,Si,No,No,No,No,Si,Si,No,No,No,Si,No,No,Si,No,No,No,No,No,No,No,No,No,No,Si,Si,Si,Si,Si,No,No
264,Montevideo - Br. Batlle Y Ordóñez 2796 - Udi,Montevideo,Montevideo,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Montevideo - Mateo Vidal 3392 - Nefrología,Montevideo,Montevideo,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,General Flores 4594,Montevideo,Montevideo,Ambulatorio,No,No,No,Si,No,No,No,No,Si,No,No,No,No,Si,No,No,Si,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,No,No,No
264,Carlos Maria Ramirez 420,Montevideo,Montevideo,Ambulatorio,No,No,No,Si,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,No,No,No
264,Montevideo - Mateo Vidal 3380 - Odontología,Montevideo,Montevideo,,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Bulevar Jose Batlle Y Ordoñez 2759,Montevideo,Montevideo,Sede Central,Si,Si,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,No,Si,Si,No,Si,No,Si,Si,Si,Si,Si,Si,Si,Si,No,Si,Si,Si,Si
264,Montevideo 3335,Río Negro,Young,Sede Secundaria,Si,No,No,Si,Si,No,No,No,Si,Si,No,No,No,Si,No,No,Si,No,No,No,No,No,No,No,No,SI,No,Si,Si,No,No,No,No,No
264,Ruta 1 Vieja Km 31500,San José,Ciudad del Plata,Sede Secundaria,Si,,,Si,Si,No,No,No,SI,Si,No,No,No,SI,No,No,SI,No,No,No,No,No,No,No,No,SI,No,No,SI,No,No,No,No,No
264,Avenida Artigas S/N,San José,Ecilda Paullier,Sede Secundaria,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Sede Secundaria R. Perazza Ruta 1 Km. 72,San José,Rafael Perazza,Sede Secundaria,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Carlos Puig  1830,Soriano,Dolores,Sede Secundaria,Si,,,Si,SI,No,No,No,SI,No,No,No,No,SI,No,No,SI,No,No,No,No,No,No,No,No,SI,No,No,SI,SI,No,No,SI,No
567,Policlinico Central  Colonia 1474,Montevideo,Montevideo,Sede Central,SI,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,No,Si,Si,No,Si,No,Si,No,Si,Si,Si,Si,Si,Si,Si,Si,Si,
567,Sanatorio Millan 4480-82,Montevideo,Montevideo,Ambulatorio,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,No,Si,Si,Si,
567,Policlìnica Lugo Avda Italia Y Bolivia,Montevideo,Montevideo,Ambulatorio,Si,No,Si,Si,No,No,No,Si,Si,Si,Si,Si,Si,No,No,Si,No,,Si,No,No,No,Si,No,Si,No,Si,Si,Si,Si,Si,Si,Si,
567,Policlinica Sgo. Compostela Millan 3400,Montevideo,Montevideo,Ambulatorio,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,Si,No,,Si,No,No,No,No,Si,Si,Si,No,Si,Si,Si,No,No,No,
567,Policlinica J.M .BARREIRO Grecia 4277,Montevideo,Montevideo,Ambulatorio,No,No,Si,No,No,No,No,Si,Si,No,No,No,Si,No,No,Si,No,No,Si,No,No,No,No,No,No,No,No,Si,Si,No,Si,Si,Si,
567,Policlinica La Coruña(Union) Avda. 8 De Octubre 4482,Montevideo,Montevideo,Ambulatorio,No,No,Si,No,No,No,No,Si,Si,Si,No,No,Si,No,No,Si,No,No,Si,No,No,No,No,No,No,No,No,Si,Si,No,Si,No,No,
567,Policlinica Pontevedra (LAGOMAR). Avda Giannatasio Esq Becu Km 21.500,Canelones,Lagomar,Sede Secundaria,No,No,Si,Si,No,No,No,Si,Si,No,No,No,Si,No,No,Si,No,No,No,No,No,No,No,No,No,No,Si,Si,Si,No,No,No,No,
567,Policlinica Orense (LAS Piedras) Dr Pouey Esq Gral Flores,Canelones,Las Piedras,Sede Secundaria,No,No,Si,No,No,No,No,Si,Si,Si,No,No,Si,No,No,Si,No,No,Si,No,No,No,No,No,No,No,No,Si,Si,No,Si,Si,Si,
567,Ruta Interbalnearia Km 38400,Canelones,Salinas,Sede Secundaria,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,No,No,No,
769,Agustin Abreu 2474,Montevideo,Montevideo,Ambulatorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,Avenida Agraciada 3691,Montevideo,Montevideo,Ambulatorio,NO,SI,NO,SI,NO,NO,NO,NO,SI,SI,NO,SI,NO,SI,NO,NO,SI,NO,NO,SI,NO,NO,NO,SI,NO,NO,NO,SI,SI,SI,SI,SI,NO,NO
769,Avenida Italia 7504,Montevideo,Montevideo,Ambulatorio,NO,NO,NO,SI,NO,NO,NO,SI,NO,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
769,Grecia 4268,Montevideo,Montevideo,Ambulatorio,NO,NO,NO,SI,NO,NO,NO,NO,SI,SI,NO,SI,NO,SI,NO,NO,SI,NO,NO,SI,NO,NO,NO,SI,NO,NO,NO,SI,SI,SI,NO,SI,NO,SI
769,Garzon 2003,Montevideo,Montevideo,Ambulatorio,NO,NO,NO,SI,NO,NO,NO,NO,,SI,NO,SI,SI,SI,NO,NO,SI,NO,NO,SI,NO,NO,NO,SI,NO,NO,NO,SI,SI,SI,NO,SI,NO,NO
769,Juan Ramon Gomez 2675,Montevideo,Montevideo,Ambulatorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,Luis Alberto De Herrera 2421 Ex Sanatorio 4,Montevideo,Montevideo,Ambulatorio,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,NO
769,Camino Carrasco 4641,Montevideo,Montevideo,Ambulatorio,NO,NO,NO,SI,NO,NO,NO,NO,SI,SI,NO,SI,NO,SI,NO,NO,SI,NO,NO,SI,NO,NO,NO,SI,SI,NO,NO,NO,SI,SI,NO,SI,NO,NO
769,Verdi 4820,Montevideo,Montevideo,Ambulatorio,NO,SI,NO,SI,NO,NO,NO,NO,SI,SI,NO,SI,SI,SI,NO,NO,SI,NO,NO,SI,NO,NO,NO,SI,NO,NO,NO,NO,SI,SI,NO,SI,NO,NO
769,Cataluña 3140,Montevideo,Montevideo,Ambulatorio,NO,SI,NO,SI,NO,NO,NO,SI,SI,SI,NO,SI,SI,SI,NO,NO,SI,NO,NO,SI,NO,NO,NO,SI,SI,NO,NO,SI,SI,SI,SI,SI,SI,NO
769,Camino Carrasco 8054,Canelones,Paso Carrasco,Sede Secundaria,NO,NO,NO,SI,NO,NO,NO,NO,NO,SI,NO,NO,SI,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO
769,Luis Batlle Berres 6556,Montevideo,Montevideo,Ambulatorio,NO,NO,NO,SI,NO,NO,NO,NO,SI,NO,NO,SI,NO,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,SI,NO,NO,NO,NO,NO
769,Jose Belloni 4935,Montevideo,Montevideo,Ambulatorio,NO,NO,NO,SI,NO,NO,NO,NO,SI,NO,NO,SI,NO,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,SI,SI,NO,SI,NO,NO
769,Avenida Bolivia 2345,Montevideo,Montevideo,Ambulatorio,NO,NO,NO,SI,NO,NO,NO,NO,SI,SI,SI,SI,NO,SI,NO,NO,SI,NO,NO,SI,NO,NO,NO,SI,NO,NO,NO,SI,SI,SI,SI,SI,NO,NO
769,Avenida 8 De Octubre 3300,Montevideo,Montevideo,Sede Central,NO,NO,SI,SI,SI,SI,si,NO,SI,NO,SI,NO,NO,SI,si,NO,NO,SI,NO,SI,no,NO,SI,SI,NO,NO,SI,SI,NO,SI,NO,NO,SI,SI
769,Colonia 1942,Montevideo,Montevideo,Ambulatorio,Si,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,no,NO,NO,si,NO,NO,NO,si,SI,NO,NO,NO,NO,NO
769,8 De Octubre 3300,Montevideo,Montevideo,Ambulatorio,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,,,
769,Avenida Garibaldi 2644,Montevideo,Montevideo,Ambulatorio,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
769,Montevideo - Upeca - Arenal Grande 1539,Montevideo,Montevideo,Ambulatorio,NO,SI,NO,SI,NO,NO,NO,NO,SI,SI,NO,NO,SI,SI,NO,NO,SI,NO,NO,SI,NO,NO,NO,SI,NO,NO,NO,NO,SI,SI,NO,SI,NO,NO
769,ASILO 3336,Montevideo,Montevideo,Ambulatorio,,,,,,,,,,,,,,,,,,NO,,,,,,,,NO,,,,,,,,
769,Centro Médico Bulevar Bulevar Artigas 1305,Montevideo,Montevideo,Ambulatorio,NO,SI,NO,SI,NO,NO,NO,NO,SI,SI,SI,SI,SI,SI,NO,NO,SI,NO,NO,SI,NO,NO,NO,SI,NO,NO,NO,SI,SI,SI,SI,SI,NO,SI
769,Consultorio Colectivo Priorizado  Lenoble 3317,Montevideo,Montevideo,Ambulatorio,NO,NO,NO,SI,NO,NO,NO,NO,SI,NO,NO,SI,SI,SI,NO,NO,SI,SI,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,SI,SI,NO,SI,NO,NO
769,Consultorio Colectivo Priorizado  Gral. Flores 3935,Montevideo,Montevideo,Ambulatorio,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO
769,Roger Ballet S/N,Canelones,Atlántida,Sede Secundaria,NO,NO,NO,SI,SI,NO,NO,NO,NO,SI,NO,SI,NO,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
769,Sede Secundaria Barros Blancos Ruta 8 Km 24400,Canelones,Barros Blancos,Sede Secundaria,NO,NO,NO,SI,SI,NO,NO,NO,SI,SI,NO,NO,NO,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,NO,SI,NO,SI,NO,NO
769,Tomas Berreta 177,Canelones,Canelones,Sede Secundaria,SI,NO,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,SI,SI,NO,NO,NO,NO
769,Ruta 1 Km 27500,San José,Ciudad del Plata,Sede Secundaria,SI,NO,NO,SI,SI,NO,NO,NO,NO,SI,NO,NO,NO,SI,NO,NO,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,SI,SI,SI,NO,NO,NO,NO
769,Solis S/N,Canelones,Joaquín Suárez,Ambulatorio,NO,NO,NO,SI,NO,NO,NO,NO,SI,NO,NO, NO,NO,SI,hs mes,NO,SI,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,SI,NO,NO,SI,NO,NO
769,Rivera S/N,Canelones,La Floresta,Ambulatorio,NO,NO,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,NO,NO
769,Sede Secundaria Lagomar - Costa Urbana Shopping - Avenida Giannatassio Km 21,Canelones,Lagomar,Sede Secundaria,NO,NO,NO,SI,NO,NO,NO,SI,SI,SI,SI,SI,SI,SI,SI,NO,SI,si,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,SI,SI,SI,NO,SI,SI
769,Sede Secundaria Las Piedras Pilar Cabrera 545,Canelones,Las Piedras,Sede Secundaria,SI,NO,NO,SI,SI,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,,si,NO,NO,NO
769,Joaquin De Viana S/N,Maldonado,Maldonado,Sede Secundaria,SI,NO,NO,SI,SI,NO,NO,NO,SI,SI,NO,SI,NO,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,SI,NO,SI,NO,SI,SI,SI,NO,NO,SI,SI
769,Circunvalacion De La Plaza S/N,Canelones,Montes,Ambulatorio,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
769,Feliciano Viera S/N,Canelones,Migues,Sede Secundaria,si,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,SI,NO,NO,NO,NO,NO
769,Ruta Independencia 964,Canelones,Pando,Sede Secundaria,SI,NO,NO,SI,SI,NO,NO,NO,SI,no,NO,NO,NO,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,SI,NO,SI,NO,SI,SI,SI,NO,SI,NO,NO
769,Salta 1930,Maldonado,Piriápolis,Ambulatorio,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,NO,NO,NO
769,Ruta Interbalnearia Km 37500,Canelones,Salinas,Sede Secundaria,SI,NO,NO,SI,SI,NO,NO,NO,NO,SI,NO,SI,NO,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,SI,SI,NO,NO,NO,NO
769,Avenida Artigas S/N,Canelones,San Jacinto,Ambulatorio,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
769,Carusso S/N,Canelones,San Luis,Sede Secundaria,SI,NO,NO,SI,SI,NO,NO,NO,NO,SI,NO,NO,NO,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO
769,San Miguel 1576,Canelones,Sauce,Sede Secundaria,si,NO,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO
769,Avenida Giannattasio Km 23800,Canelones,Solymar,Sede Secundaria,SI,NO,NO,SI,SI,NO,NO,NO,SI,SI,SI,SI,NO,SI,NO,NO,SI,NO,NO,NO,NO,NO,NO,SI,SI,NO,NO,SI,SI,SI,NO,NO,NO,NO
769,Las Palmeras S/N,Canelones,Cuchilla Alta,Ambulatorio,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,NO,NO
1062,Libertad 136,Soriano,Cardona,Ambulatorio,si,no,si,si,si,no,si,si,si,si,si,si,no,si,si,no,si,si,no,no,no,no,no,si,no,si,no,si,si,si,si,si,si,si
1062,Jose Enrique Rodo - Calle 10 S/N,Soriano,Mercedes,Ambulatorio,si,no,no,no,no,no,no,si,no,no,no,no,no,si,no,no,si,no,no,no,no,no,no,no,no,si,no,no,si,no,no,no,no,no
1062,Mercedes - General Artigas 385,Soriano,Montevideo,Ambulatorio,si,no,no,si,si,no,no,no,si,si,no,no,no,si,no,no,si,no,no,no,no,no,no,no,no,si,no,no,si,no,no,no,no,no
1062,8 De Octubre 2710,Montevideo,Montevideo,Ambulatorio,no,no,no,si,si,si,no,no,no,si,no,si,si,si,no,no,si,si,no,si,no,si,no,si,si,si,si,si,si,si,si,si,no,si
